#Column 1: lower magnitude range of bin in apparent g magnitude 
#Column 2: upper magnitude range of bin in apparent g magnitude 
#Column 3: lower effective magnitude range in arcseconds 
#Column 4: upper effective magnitude range in arcseconds 
#Column 5: Combined algorithm and visual inspection recovery fraction within this range in percentage from 0 to 100 
# A value of Nan means no artificial galaxies were injected for visual inspection within this bin 
#Column 6: Number of artificial galaxies injected for visual inspection within this bin 
l_mag, h_mag, l_e_r, h_e_r, eff_rd 
16.13, 15.75, 2.51, 3.41, 0.0, 1
16.13, 15.75, 3.41, 4.64, Nan,  0
16.13, 15.75, 4.64, 6.31, Nan,  0
16.13, 15.75, 6.31, 8.58, Nan,  0
16.13, 15.75, 8.58, 11.66, Nan,  0
16.13, 15.75, 11.66, 15.85, 48.90625, 6
16.13, 15.75, 15.85, 21.54, 49.0625, 4
16.13, 15.75, 21.54, 29.29, Nan,  0
16.13, 15.75, 29.29, 39.81, 97.91667, 1
16.13, 15.75, 39.81, 54.12, 99.16667, 3
16.13, 15.75, 54.12, 73.56, Nan,  0
16.13, 15.75, 73.56, 100.0, Nan,  0
16.5, 16.13, 2.51, 3.41, Nan,  0
16.5, 16.13, 3.41, 4.64, 0.0, 1
16.5, 16.13, 4.64, 6.31, Nan,  0
16.5, 16.13, 6.31, 8.58, 0.0, 1
16.5, 16.13, 8.58, 11.66, 12.07031, 8
16.5, 16.13, 11.66, 15.85, 42.05357, 7
16.5, 16.13, 15.85, 21.54, 64.79167, 6
16.5, 16.13, 21.54, 29.29, 98.75, 4
16.5, 16.13, 29.29, 39.81, 98.54167, 4
16.5, 16.13, 39.81, 54.12, 64.86111, 3
16.5, 16.13, 54.12, 73.56, 66.66667, 3
16.5, 16.13, 73.56, 100.0, 38.83333, 5
16.88, 16.5, 2.51, 3.41, 0.0, 2
16.88, 16.5, 3.41, 4.64, 0.0, 1
16.88, 16.5, 4.64, 6.31, Nan,  0
16.88, 16.5, 6.31, 8.58, 0.0, 4
16.88, 16.5, 8.58, 11.66, 27.63393, 7
16.88, 16.5, 11.66, 15.85, 55.2381, 7
16.88, 16.5, 15.85, 21.54, 98.02083, 5
16.88, 16.5, 21.54, 29.29, 97.65625, 5
16.88, 16.5, 29.29, 39.81, 99.16667, 5
16.88, 16.5, 39.81, 54.12, 98.95833, 5
16.88, 16.5, 54.12, 73.56, 74.0625, 4
16.88, 16.5, 73.56, 100.0, 0.0, 1
17.26, 16.88, 2.51, 3.41, 0.0, 1
17.26, 16.88, 3.41, 4.64, 0.0, 2
17.26, 16.88, 4.64, 6.31, 0.0, 1
17.26, 16.88, 6.31, 8.58, 24.58333, 4
17.26, 16.88, 8.58, 11.66, 69.53125, 7
17.26, 16.88, 11.66, 15.85, 96.66667, 4
17.26, 16.88, 15.85, 21.54, 96.45833, 4
17.26, 16.88, 21.54, 29.29, 97.65625, 4
17.26, 16.88, 29.29, 39.81, 98.95833, 9
17.26, 16.88, 39.81, 54.12, 77.5, 5
17.26, 16.88, 54.12, 73.56, 82.29167, 6
17.26, 16.88, 73.56, 100.0, 24.01042, 4
17.63, 17.26, 2.51, 3.41, 0.0, 3
17.63, 17.26, 3.41, 4.64, Nan,  0
17.63, 17.26, 4.64, 6.31, 8.60795, 11
17.63, 17.26, 6.31, 8.58, 0.0, 6
17.63, 17.26, 8.58, 11.66, 81.77083, 6
17.63, 17.26, 11.66, 15.85, 98.22917, 4
17.63, 17.26, 15.85, 21.54, 98.4375, 12
17.63, 17.26, 21.54, 29.29, 97.65625, 5
17.63, 17.26, 29.29, 39.81, 97.91667, 5
17.63, 17.26, 39.81, 54.12, 48.75, 8
17.63, 17.26, 54.12, 73.56, 13.97321, 7
17.63, 17.26, 73.56, 100.0, 0.0, 1
18.01, 17.63, 2.51, 3.41, 0.0, 8
18.01, 17.63, 3.41, 4.64, 0.0, 5
18.01, 17.63, 4.64, 6.31, 15.86806, 6
18.01, 17.63, 6.31, 8.58, 80.20833, 6
18.01, 17.63, 8.58, 11.66, 84.76562, 8
18.01, 17.63, 11.66, 15.85, 97.5, 5
18.01, 17.63, 15.85, 21.54, 97.8125, 9
18.01, 17.63, 21.54, 29.29, 98.125, 10
18.01, 17.63, 29.29, 39.81, 49.375, 4
18.01, 17.63, 39.81, 54.12, 41.51786, 7
18.01, 17.63, 54.12, 73.56, 0.0, 2
18.01, 17.63, 73.56, 100.0, 0.0, 1
18.39, 18.01, 2.51, 3.41, 0.0, 3
18.39, 18.01, 3.41, 4.64, 0.0, 5
18.39, 18.01, 4.64, 6.31, 0.0, 5
18.39, 18.01, 6.31, 8.58, 98.33333, 8
18.39, 18.01, 8.58, 11.66, 97.8125, 5
18.39, 18.01, 11.66, 15.85, 72.96875, 8
18.39, 18.01, 15.85, 21.54, 78.0, 5
18.39, 18.01, 21.54, 29.29, 78.75, 10
18.39, 18.01, 29.29, 39.81, 82.29167, 6
18.39, 18.01, 39.81, 54.12, 10.74074, 9
18.39, 18.01, 54.12, 73.56, 0.0, 8
18.39, 18.01, 73.56, 100.0, 0.0, 5
18.76, 18.39, 2.51, 3.41, 0.0, 4
18.76, 18.39, 3.41, 4.64, 44.92188, 6
18.76, 18.39, 4.64, 6.31, 53.92857, 7
18.76, 18.39, 6.31, 8.58, 84.40104, 8
18.76, 18.39, 8.58, 11.66, 96.25, 11
18.76, 18.39, 11.66, 15.85, 80.98958, 6
18.76, 18.39, 15.85, 21.54, 82.76786, 7
18.76, 18.39, 21.54, 29.29, 82.89663, 13
18.76, 18.39, 29.29, 39.81, 59.125, 5
18.76, 18.39, 39.81, 54.12, 0.0, 8
18.76, 18.39, 54.12, 73.56, 0.0, 4
18.76, 18.39, 73.56, 100.0, 0.0, 3
19.14, 18.76, 2.51, 3.41, 0.0, 3
19.14, 18.76, 3.41, 4.64, 36.58854, 12
19.14, 18.76, 4.64, 6.31, 76.99653, 12
19.14, 18.76, 6.31, 8.58, 84.94792, 8
19.14, 18.76, 8.58, 11.66, 95.78125, 8
19.14, 18.76, 11.66, 15.85, 96.5625, 8
19.14, 18.76, 15.85, 21.54, 64.51389, 9
19.14, 18.76, 21.54, 29.29, 48.20312, 8
19.14, 18.76, 29.29, 39.81, 28.375, 10
19.14, 18.76, 39.81, 54.12, 0.0, 5
19.14, 18.76, 54.12, 73.56, 0.0, 7
19.14, 18.76, 73.56, 100.0, Nan,  0
19.52, 19.14, 2.51, 3.41, 12.89583, 5
19.52, 19.14, 3.41, 4.64, 48.40909, 11
19.52, 19.14, 4.64, 6.31, 94.79167, 9
19.52, 19.14, 6.31, 8.58, 96.66667, 16
19.52, 19.14, 8.58, 11.66, 96.875, 14
19.52, 19.14, 11.66, 15.85, 96.66667, 7
19.52, 19.14, 15.85, 21.54, 48.22917, 12
19.52, 19.14, 21.54, 29.29, 57.03125, 8
19.52, 19.14, 29.29, 39.81, 18.4375, 8
19.52, 19.14, 39.81, 54.12, 0.0, 5
19.52, 19.14, 54.12, 73.56, 0.0, 5
19.52, 19.14, 73.56, 100.0, 0.0, 1
19.89, 19.52, 2.51, 3.41, 9.18155, 7
19.89, 19.52, 3.41, 4.64, 45.42614, 11
19.89, 19.52, 4.64, 6.31, 93.54167, 11
19.89, 19.52, 6.31, 8.58, 94.79167, 6
19.89, 19.52, 8.58, 11.66, 95.78125, 8
19.89, 19.52, 11.66, 15.85, 87.12121, 11
19.89, 19.52, 15.85, 21.54, 22.57812, 8
19.89, 19.52, 21.54, 29.29, 0.0, 5
19.89, 19.52, 29.29, 39.81, 4.05093, 9
19.89, 19.52, 39.81, 54.12, 0.0, 8
19.89, 19.52, 54.12, 73.56, 0.0, 5
19.89, 19.52, 73.56, 100.0, Nan,  0
20.27, 19.89, 2.51, 3.41, 23.5, 10
20.27, 19.89, 3.41, 4.64, 68.09896, 6
20.27, 19.89, 4.64, 6.31, 90.9375, 11
20.27, 19.89, 6.31, 8.58, 93.64583, 6
20.27, 19.89, 8.58, 11.66, 82.16797, 8
20.27, 19.89, 11.66, 15.85, 75.89286, 14
20.27, 19.89, 15.85, 21.54, 23.06818, 11
20.27, 19.89, 21.54, 29.29, 2.57212, 13
20.27, 19.89, 29.29, 39.81, 0.0, 7
20.27, 19.89, 39.81, 54.12, 0.0, 11
20.27, 19.89, 54.12, 73.56, 0.0, 1
20.27, 19.89, 73.56, 100.0, Nan,  0
20.65, 20.27, 2.51, 3.41, 21.83333, 5
20.65, 20.27, 3.41, 4.64, 57.65625, 4
20.65, 20.27, 4.64, 6.31, 71.61458, 6
20.65, 20.27, 6.31, 8.58, 82.8125, 8
20.65, 20.27, 8.58, 11.66, 65.75521, 6
20.65, 20.27, 11.66, 15.85, 31.09375, 6
20.65, 20.27, 15.85, 21.54, 4.70238, 7
20.65, 20.27, 21.54, 29.29, 0.0, 4
20.65, 20.27, 29.29, 39.81, 0.0, 2
20.65, 20.27, 39.81, 54.12, 0.0, 5
20.65, 20.27, 54.12, 73.56, 0.0, 1
20.65, 20.27, 73.56, 100.0, Nan,  0
21.02, 20.65, 2.51, 3.41, 24.9375, 5
21.02, 20.65, 3.41, 4.64, 44.86607, 7
21.02, 20.65, 4.64, 6.31, 65.10417, 3
