#Column 1: lower magnitude range of bin in apparent g magnitude 
#Column 2: upper magnitude range of bin in apparent g magnitude 
#Column 3: lower effective magnitude range in arcseconds 
#Column 4: upper effective magnitude range in arcseconds 
#Column 5: Combined algorithm and visual inspection recovery fraction within this range in percentage from 0 to 100 
# A value of Nan means no artificial galaxies were injected for visual inspection within this bin 
#Column 6: Number of artificial galaxies injected for visual inspection within this bin 
l_mag, h_mag, l_e_r, h_e_r, eff_rd 
16.13, 15.75, 2.51, 3.41, 0.0, 1
16.13, 15.75, 3.41, 4.64, Nan,  0
16.13, 15.75, 4.64, 6.31, Nan,  0
16.13, 15.75, 6.31, 8.58, Nan,  0
16.13, 15.75, 8.58, 11.66, Nan,  0
16.13, 15.75, 11.66, 15.85, 48.90625, 6
16.13, 15.75, 15.85, 21.54, 48.85417, 4
16.13, 15.75, 21.54, 29.29, Nan,  0
16.13, 15.75, 29.29, 39.81, 97.29167, 1
16.13, 15.75, 39.81, 54.12, 98.33333, 3
16.13, 15.75, 54.12, 73.56, Nan,  0
16.13, 15.75, 73.56, 100.0, Nan,  0
16.5, 16.13, 2.51, 3.41, Nan,  0
16.5, 16.13, 3.41, 4.64, 0.0, 1
16.5, 16.13, 4.64, 6.31, Nan,  0
16.5, 16.13, 6.31, 8.58, 0.0, 1
16.5, 16.13, 8.58, 11.66, 12.07031, 8
16.5, 16.13, 11.66, 15.85, 41.74107, 7
16.5, 16.13, 15.85, 21.54, 65.0, 6
16.5, 16.13, 21.54, 29.29, 97.65625, 4
16.5, 16.13, 29.29, 39.81, 98.125, 4
16.5, 16.13, 39.81, 54.12, 66.11111, 3
16.5, 16.13, 54.12, 73.56, 66.25, 3
16.5, 16.13, 73.56, 100.0, 39.33333, 5
16.88, 16.5, 2.51, 3.41, 0.0, 2
16.88, 16.5, 3.41, 4.64, 0.0, 1
16.88, 16.5, 4.64, 6.31, Nan,  0
16.88, 16.5, 6.31, 8.58, 0.0, 4
16.88, 16.5, 8.58, 11.66, 27.32143, 7
16.88, 16.5, 11.66, 15.85, 55.11905, 7
16.88, 16.5, 15.85, 21.54, 97.91667, 5
16.88, 16.5, 21.54, 29.29, 96.71875, 5
16.88, 16.5, 29.29, 39.81, 97.5, 5
16.88, 16.5, 39.81, 54.12, 97.70833, 5
16.88, 16.5, 54.12, 73.56, 74.0625, 4
16.88, 16.5, 73.56, 100.0, 0.0, 1
17.26, 16.88, 2.51, 3.41, 0.0, 1
17.26, 16.88, 3.41, 4.64, 0.0, 2
17.26, 16.88, 4.64, 6.31, 0.0, 1
17.26, 16.88, 6.31, 8.58, 24.01042, 4
17.26, 16.88, 8.58, 11.66, 68.63839, 7
17.26, 16.88, 11.66, 15.85, 96.77083, 4
17.26, 16.88, 15.85, 21.54, 97.39583, 4
17.26, 16.88, 21.54, 29.29, 97.03125, 4
17.26, 16.88, 29.29, 39.81, 97.70833, 9
17.26, 16.88, 39.81, 54.12, 78.0, 5
17.26, 16.88, 54.12, 73.56, 80.46875, 6
17.26, 16.88, 73.56, 100.0, 23.85417, 4
17.63, 17.26, 2.51, 3.41, 0.0, 3
17.63, 17.26, 3.41, 4.64, Nan,  0
17.63, 17.26, 4.64, 6.31, 8.35227, 11
17.63, 17.26, 6.31, 8.58, 0.0, 6
17.63, 17.26, 8.58, 11.66, 80.59896, 6
17.63, 17.26, 11.66, 15.85, 97.1875, 4
17.63, 17.26, 15.85, 21.54, 97.39583, 12
17.63, 17.26, 21.54, 29.29, 97.34375, 5
17.63, 17.26, 29.29, 39.81, 97.29167, 5
17.63, 17.26, 39.81, 54.12, 48.54167, 8
17.63, 17.26, 54.12, 73.56, 13.92857, 7
17.63, 17.26, 73.56, 100.0, 0.0, 1
18.01, 17.63, 2.51, 3.41, 0.0, 8
18.01, 17.63, 3.41, 4.64, 0.0, 5
18.01, 17.63, 4.64, 6.31, 15.60764, 6
18.01, 17.63, 6.31, 8.58, 79.86111, 6
18.01, 17.63, 8.58, 11.66, 84.49219, 8
18.01, 17.63, 11.66, 15.85, 95.625, 5
18.01, 17.63, 15.85, 21.54, 96.45833, 9
18.01, 17.63, 21.54, 29.29, 94.6875, 10
18.01, 17.63, 29.29, 39.81, 48.125, 4
18.01, 17.63, 39.81, 54.12, 41.07143, 7
18.01, 17.63, 54.12, 73.56, 0.0, 2
18.01, 17.63, 73.56, 100.0, 0.0, 1
18.39, 18.01, 2.51, 3.41, 0.0, 3
18.39, 18.01, 3.41, 4.64, 0.0, 5
18.39, 18.01, 4.64, 6.31, 0.0, 5
18.39, 18.01, 6.31, 8.58, 96.25, 8
18.39, 18.01, 8.58, 11.66, 95.625, 5
18.39, 18.01, 11.66, 15.85, 71.5625, 8
18.39, 18.01, 15.85, 21.54, 76.83333, 5
18.39, 18.01, 21.54, 29.29, 78.0, 10
18.39, 18.01, 29.29, 39.81, 79.86111, 6
18.39, 18.01, 39.81, 54.12, 10.55556, 9
18.39, 18.01, 54.12, 73.56, 0.0, 8
18.39, 18.01, 73.56, 100.0, 0.0, 5
18.76, 18.39, 2.51, 3.41, 0.0, 4
18.76, 18.39, 3.41, 4.64, 40.625, 6
18.76, 18.39, 4.64, 6.31, 54.16667, 7
18.76, 18.39, 6.31, 8.58, 83.21615, 8
18.76, 18.39, 8.58, 11.66, 97.65625, 11
18.76, 18.39, 11.66, 15.85, 80.55556, 6
18.76, 18.39, 15.85, 21.54, 82.05357, 7
18.76, 18.39, 21.54, 29.29, 80.12019, 13
18.76, 18.39, 29.29, 39.81, 57.25, 5
18.76, 18.39, 39.81, 54.12, 0.0, 8
18.76, 18.39, 54.12, 73.56, 0.0, 4
18.76, 18.39, 73.56, 100.0, 0.0, 3
19.14, 18.76, 2.51, 3.41, 0.0, 3
19.14, 18.76, 3.41, 4.64, 34.89583, 12
19.14, 18.76, 4.64, 6.31, 77.60417, 12
19.14, 18.76, 6.31, 8.58, 83.03385, 8
19.14, 18.76, 8.58, 11.66, 94.6875, 8
19.14, 18.76, 11.66, 15.85, 96.35417, 8
19.14, 18.76, 15.85, 21.54, 63.95833, 9
19.14, 18.76, 21.54, 29.29, 48.04688, 8
19.14, 18.76, 29.29, 39.81, 27.6875, 10
19.14, 18.76, 39.81, 54.12, 0.0, 5
19.14, 18.76, 54.12, 73.56, 0.0, 7
19.14, 18.76, 73.56, 100.0, Nan,  0
19.52, 19.14, 2.51, 3.41, 10.33333, 5
19.52, 19.14, 3.41, 4.64, 46.61932, 11
19.52, 19.14, 4.64, 6.31, 92.70833, 9
19.52, 19.14, 6.31, 8.58, 94.89583, 16
19.52, 19.14, 8.58, 11.66, 95.0, 14
19.52, 19.14, 11.66, 15.85, 96.14583, 7
19.52, 19.14, 15.85, 21.54, 46.97917, 12
19.52, 19.14, 21.54, 29.29, 58.00781, 8
19.52, 19.14, 29.29, 39.81, 20.0, 8
19.52, 19.14, 39.81, 54.12, 0.0, 5
19.52, 19.14, 54.12, 73.56, 0.0, 5
19.52, 19.14, 73.56, 100.0, 0.0, 1
19.89, 19.52, 2.51, 3.41, 7.84226, 7
19.89, 19.52, 3.41, 4.64, 44.14773, 11
19.89, 19.52, 4.64, 6.31, 90.625, 11
19.89, 19.52, 6.31, 8.58, 92.29167, 6
19.89, 19.52, 8.58, 11.66, 94.21875, 8
19.89, 19.52, 11.66, 15.85, 85.89015, 11
19.89, 19.52, 15.85, 21.54, 22.47396, 8
19.89, 19.52, 21.54, 29.29, 0.0, 5
19.89, 19.52, 29.29, 39.81, 4.88426, 9
19.89, 19.52, 39.81, 54.12, 0.0, 8
19.89, 19.52, 54.12, 73.56, 0.0, 5
19.89, 19.52, 73.56, 100.0, Nan,  0
20.27, 19.89, 2.51, 3.41, 20.25, 10
20.27, 19.89, 3.41, 4.64, 66.01562, 6
20.27, 19.89, 4.64, 6.31, 89.79167, 11
20.27, 19.89, 6.31, 8.58, 93.02083, 6
20.27, 19.89, 8.58, 11.66, 80.80078, 8
20.27, 19.89, 11.66, 15.85, 76.07143, 14
20.27, 19.89, 15.85, 21.54, 27.95455, 11
20.27, 19.89, 21.54, 29.29, 3.60577, 13
20.27, 19.89, 29.29, 39.81, 0.0, 7
20.27, 19.89, 39.81, 54.12, 0.0, 11
20.27, 19.89, 54.12, 73.56, 0.0, 1
20.27, 19.89, 73.56, 100.0, Nan,  0
20.65, 20.27, 2.51, 3.41, 18.79167, 5
20.65, 20.27, 3.41, 4.64, 54.375, 4
20.65, 20.27, 4.64, 6.31, 71.00694, 6
20.65, 20.27, 6.31, 8.58, 86.04167, 8
20.65, 20.27, 8.58, 11.66, 68.48958, 6
20.65, 20.27, 11.66, 15.85, 35.78125, 6
20.65, 20.27, 15.85, 21.54, 6.04167, 7
20.65, 20.27, 21.54, 29.29, 0.0, 4
20.65, 20.27, 29.29, 39.81, 0.0, 2
20.65, 20.27, 39.81, 54.12, 0.0, 5
20.65, 20.27, 54.12, 73.56, 0.0, 1
20.65, 20.27, 73.56, 100.0, Nan,  0
21.02, 20.65, 2.51, 3.41, 23.0, 5
21.02, 20.65, 3.41, 4.64, 42.1875, 7
21.02, 20.65, 4.64, 6.31, 68.64583, 3
