#Column 1: lower magnitude range of bin in apparent g magnitude 
#Column 2: upper magnitude range of bin in apparent g magnitude 
#Column 3: lower effective magnitude range in arcseconds 
#Column 4: upper effective magnitude range in arcseconds 
#Column 5: Combined algorithm and visual inspection recovery fraction within this range in percentage from 0 to 100 
# A value of Nan means no artificial galaxies were injected for visual inspection within this bin 
#Column 6: Number of artificial galaxies injected for visual inspection within this bin 
l_mag, h_mag, l_e_r, h_e_r, eff_rd 
16.13, 15.75, 2.51, 3.41, 0.0, 1
16.13, 15.75, 3.41, 4.64, Nan,  0
16.13, 15.75, 4.64, 6.31, Nan,  0
16.13, 15.75, 6.31, 8.58, Nan,  0
16.13, 15.75, 8.58, 11.66, Nan,  0
16.13, 15.75, 11.66, 15.85, 0.0, 6
16.13, 15.75, 15.85, 21.54, 0.0, 4
16.13, 15.75, 21.54, 29.29, Nan,  0
16.13, 15.75, 29.29, 39.81, 0.0, 1
16.13, 15.75, 39.81, 54.12, 0.0, 3
16.13, 15.75, 54.12, 73.56, Nan,  0
16.13, 15.75, 73.56, 100.0, Nan,  0
16.5, 16.13, 2.51, 3.41, Nan,  0
16.5, 16.13, 3.41, 4.64, 0.0, 1
16.5, 16.13, 4.64, 6.31, Nan,  0
16.5, 16.13, 6.31, 8.58, 0.0, 1
16.5, 16.13, 8.58, 11.66, 0.0, 8
16.5, 16.13, 11.66, 15.85, 0.0, 7
16.5, 16.13, 15.85, 21.54, 0.0, 6
16.5, 16.13, 21.54, 29.29, 0.0, 4
16.5, 16.13, 29.29, 39.81, 0.0, 4
16.5, 16.13, 39.81, 54.12, 0.0, 3
16.5, 16.13, 54.12, 73.56, 0.0, 3
16.5, 16.13, 73.56, 100.0, 0.0, 5
16.88, 16.5, 2.51, 3.41, 0.0, 2
16.88, 16.5, 3.41, 4.64, 0.0, 1
16.88, 16.5, 4.64, 6.31, Nan,  0
16.88, 16.5, 6.31, 8.58, 0.0, 4
16.88, 16.5, 8.58, 11.66, 28.39286, 7
16.88, 16.5, 11.66, 15.85, 56.66667, 7
16.88, 16.5, 15.85, 21.54, 98.33333, 5
16.88, 16.5, 21.54, 29.29, 100.0, 5
16.88, 16.5, 29.29, 39.81, 99.16667, 5
16.88, 16.5, 39.81, 54.12, 100.0, 5
16.88, 16.5, 54.12, 73.56, 75.0, 4
16.88, 16.5, 73.56, 100.0, 0.0, 1
17.26, 16.88, 2.51, 3.41, 0.0, 1
17.26, 16.88, 3.41, 4.64, 0.0, 2
17.26, 16.88, 4.64, 6.31, 0.0, 1
17.26, 16.88, 6.31, 8.58, 24.53125, 4
17.26, 16.88, 8.58, 11.66, 69.86607, 7
17.26, 16.88, 11.66, 15.85, 99.375, 4
17.26, 16.88, 15.85, 21.54, 99.375, 4
17.26, 16.88, 21.54, 29.29, 98.75, 4
17.26, 16.88, 29.29, 39.81, 99.16667, 9
17.26, 16.88, 39.81, 54.12, 79.0, 5
17.26, 16.88, 54.12, 73.56, 82.8125, 6
17.26, 16.88, 73.56, 100.0, 24.6875, 4
17.63, 17.26, 2.51, 3.41, 0.0, 3
17.63, 17.26, 3.41, 4.64, Nan,  0
17.63, 17.26, 4.64, 6.31, 9.01515, 11
17.63, 17.26, 6.31, 8.58, 0.0, 6
17.63, 17.26, 8.58, 11.66, 82.03125, 6
17.63, 17.26, 11.66, 15.85, 99.16667, 4
17.63, 17.26, 15.85, 21.54, 99.16667, 12
17.63, 17.26, 21.54, 29.29, 100.0, 5
17.63, 17.26, 29.29, 39.81, 98.33333, 5
17.63, 17.26, 39.81, 54.12, 49.16667, 8
17.63, 17.26, 54.12, 73.56, 14.28571, 7
17.63, 17.26, 73.56, 100.0, 0.0, 1
18.01, 17.63, 2.51, 3.41, 0.0, 8
18.01, 17.63, 3.41, 4.64, 0.0, 5
18.01, 17.63, 4.64, 6.31, 16.31944, 6
18.01, 17.63, 6.31, 8.58, 81.77083, 6
18.01, 17.63, 8.58, 11.66, 86.95312, 8
18.01, 17.63, 11.66, 15.85, 99.375, 5
18.01, 17.63, 15.85, 21.54, 98.75, 9
18.01, 17.63, 21.54, 29.29, 99.0625, 10
18.01, 17.63, 29.29, 39.81, 49.58333, 4
18.01, 17.63, 39.81, 54.12, 42.32143, 7
18.01, 17.63, 54.12, 73.56, 0.0, 2
18.01, 17.63, 73.56, 100.0, 0.0, 1
18.39, 18.01, 2.51, 3.41, 0.0, 3
18.39, 18.01, 3.41, 4.64, 0.0, 5
18.39, 18.01, 4.64, 6.31, 0.0, 5
18.39, 18.01, 6.31, 8.58, 97.5, 8
18.39, 18.01, 8.58, 11.66, 100.0, 5
18.39, 18.01, 11.66, 15.85, 74.375, 8
18.39, 18.01, 15.85, 21.54, 78.0, 5
18.39, 18.01, 21.54, 29.29, 80.0, 10
18.39, 18.01, 29.29, 39.81, 81.94444, 6
18.39, 18.01, 39.81, 54.12, 10.74074, 9
18.39, 18.01, 54.12, 73.56, 0.0, 8
18.39, 18.01, 73.56, 100.0, 0.0, 5
18.76, 18.39, 2.51, 3.41, 0.0, 4
18.76, 18.39, 3.41, 4.64, 43.90625, 6
18.76, 18.39, 4.64, 6.31, 55.47619, 7
18.76, 18.39, 6.31, 8.58, 85.49479, 8
18.76, 18.39, 8.58, 11.66, 97.8125, 11
18.76, 18.39, 11.66, 15.85, 82.11806, 6
18.76, 18.39, 15.85, 21.54, 84.28571, 7
18.76, 18.39, 21.54, 29.29, 84.08654, 13
18.76, 18.39, 29.29, 39.81, 57.5, 5
18.76, 18.39, 39.81, 54.12, 0.0, 8
18.76, 18.39, 54.12, 73.56, 0.0, 4
18.76, 18.39, 73.56, 100.0, 0.0, 3
19.14, 18.76, 2.51, 3.41, 0.0, 3
19.14, 18.76, 3.41, 4.64, 38.80208, 12
19.14, 18.76, 4.64, 6.31, 80.38194, 12
19.14, 18.76, 6.31, 8.58, 86.04167, 8
19.14, 18.76, 8.58, 11.66, 97.8125, 8
19.14, 18.76, 11.66, 15.85, 98.125, 8
19.14, 18.76, 15.85, 21.54, 65.69444, 9
19.14, 18.76, 21.54, 29.29, 49.21875, 8
19.14, 18.76, 29.29, 39.81, 26.5, 10
19.14, 18.76, 39.81, 54.12, 0.0, 5
19.14, 18.76, 54.12, 73.56, 0.0, 7
19.14, 18.76, 73.56, 100.0, Nan,  0
19.52, 19.14, 2.51, 3.41, 12.83333, 5
19.52, 19.14, 3.41, 4.64, 48.75, 11
19.52, 19.14, 4.64, 6.31, 97.5, 9
19.52, 19.14, 6.31, 8.58, 97.5, 16
19.52, 19.14, 8.58, 11.66, 96.5625, 14
19.52, 19.14, 11.66, 15.85, 98.125, 7
19.52, 19.14, 15.85, 21.54, 48.64583, 12
19.52, 19.14, 21.54, 29.29, 58.39844, 8
19.52, 19.14, 29.29, 39.81, 15.52083, 8
19.52, 19.14, 39.81, 54.12, 0.0, 5
19.52, 19.14, 54.12, 73.56, 0.0, 5
19.52, 19.14, 73.56, 100.0, 0.0, 1
19.89, 19.52, 2.51, 3.41, 9.22619, 7
19.89, 19.52, 3.41, 4.64, 49.43182, 11
19.89, 19.52, 4.64, 6.31, 94.79167, 11
19.89, 19.52, 6.31, 8.58, 96.45833, 6
19.89, 19.52, 8.58, 11.66, 97.8125, 8
19.89, 19.52, 11.66, 15.85, 88.82576, 11
19.89, 19.52, 15.85, 21.54, 22.70833, 8
19.89, 19.52, 21.54, 29.29, 0.0, 5
19.89, 19.52, 29.29, 39.81, 3.00926, 9
19.89, 19.52, 39.81, 54.12, 0.0, 8
19.89, 19.52, 54.12, 73.56, 0.0, 5
19.89, 19.52, 73.56, 100.0, Nan,  0
20.27, 19.89, 2.51, 3.41, 22.25, 10
20.27, 19.89, 3.41, 4.64, 66.92708, 6
20.27, 19.89, 4.64, 6.31, 91.875, 11
20.27, 19.89, 6.31, 8.58, 94.375, 6
20.27, 19.89, 8.58, 11.66, 80.66406, 8
20.27, 19.89, 11.66, 15.85, 73.03571, 14
20.27, 19.89, 15.85, 21.54, 23.56061, 11
20.27, 19.89, 21.54, 29.29, 2.01923, 13
20.27, 19.89, 29.29, 39.81, 0.0, 7
20.27, 19.89, 39.81, 54.12, 0.0, 11
20.27, 19.89, 54.12, 73.56, 0.0, 1
20.27, 19.89, 73.56, 100.0, Nan,  0
20.65, 20.27, 2.51, 3.41, 18.83333, 5
20.65, 20.27, 3.41, 4.64, 53.20312, 4
20.65, 20.27, 4.64, 6.31, 70.65972, 6
20.65, 20.27, 6.31, 8.58, 86.45833, 8
20.65, 20.27, 8.58, 11.66, 62.23958, 6
20.65, 20.27, 11.66, 15.85, 27.70833, 6
20.65, 20.27, 15.85, 21.54, 3.75, 7
20.65, 20.27, 21.54, 29.29, 0.0, 4
20.65, 20.27, 29.29, 39.81, 0.0, 2
20.65, 20.27, 39.81, 54.12, 0.0, 5
20.65, 20.27, 54.12, 73.56, 0.0, 1
20.65, 20.27, 73.56, 100.0, Nan,  0
21.02, 20.65, 2.51, 3.41, 21.875, 5
21.02, 20.65, 3.41, 4.64, 41.96429, 7
21.02, 20.65, 4.64, 6.31, 59.375, 3
21.02, 20.65, 6.31, 8.58, 31.375, 10
