mag,rho,eff_rd
15.0,3.162,4.375
15.2,3.162,6.25
15.4,3.162,6.25
15.6,3.162,8.125
15.8,3.162,10.625
16.0,3.162,7.5
16.2,3.162,6.875
16.4,3.162,10.625
16.6,3.162,4.375
16.8,3.162,4.375
17.0,3.162,5.0
17.2,3.162,7.5
17.4,3.162,7.5
17.6,3.162,10.0
17.8,3.162,17.5
18.0,3.162,21.875
18.2,3.162,28.75
18.4,3.162,43.125
18.6,3.162,41.875
18.8,3.162,41.25
19.0,3.162,44.375
19.2,3.162,51.25
19.4,3.162,48.125
19.6,3.162,43.75
19.8,3.162,48.75
20.0,3.162,46.875
20.2,3.162,43.125
20.4,3.162,28.75
20.6,3.162,30.625
20.8,3.162,23.75
21.0,3.162,23.125
21.2,3.162,13.125
21.4,3.162,17.5
21.6,3.162,14.375
21.8,3.162,11.25
22.0,3.162,8.75
22.2,3.162,8.125
22.4,3.162,7.5
15.0,3.548,3.125
15.2,3.548,5.625
15.4,3.548,5.625
15.6,3.548,5.0
15.8,3.548,6.875
16.0,3.548,3.75
16.2,3.548,5.0
16.4,3.548,3.75
16.6,3.548,6.875
16.8,3.548,5.625
17.0,3.548,9.375
17.2,3.548,11.875
17.4,3.548,15.625
17.6,3.548,25.0
17.8,3.548,38.125
18.0,3.548,40.0
18.2,3.548,53.125
18.4,3.548,58.125
18.6,3.548,58.125
18.8,3.548,63.75
19.0,3.548,62.5
19.2,3.548,58.125
19.4,3.548,65.0
19.6,3.548,57.5
19.8,3.548,57.5
20.0,3.548,53.75
20.2,3.548,63.125
20.4,3.548,48.125
20.6,3.548,45.0
20.8,3.548,32.5
21.0,3.548,19.375
21.2,3.548,32.5
21.4,3.548,21.875
21.6,3.548,17.5
21.8,3.548,7.5
22.0,3.548,5.625
22.2,3.548,10.625
22.4,3.548,6.25
15.0,4.467,4.375
15.2,4.467,5.0
15.4,4.467,5.0
15.6,4.467,5.0
15.8,4.467,5.0
16.0,4.467,2.5
16.2,4.467,3.75
16.4,4.467,10.0
16.6,4.467,11.875
16.8,4.467,8.75
17.0,4.467,23.75
17.2,4.467,36.875
17.4,4.467,46.25
17.6,4.467,63.75
17.8,4.467,68.75
18.0,4.467,68.125
18.2,4.467,73.75
18.4,4.467,73.75
18.6,4.467,77.5
18.8,4.467,82.5
19.0,4.467,79.375
19.2,4.467,73.125
19.4,4.467,77.5
19.6,4.467,78.125
19.8,4.467,67.5
20.0,4.467,68.125
20.2,4.467,70.0
20.4,4.467,70.625
20.6,4.467,63.125
20.8,4.467,50.0
21.0,4.467,41.25
21.2,4.467,35.0
21.4,4.467,22.5
21.6,4.467,19.375
21.8,4.467,6.875
22.0,4.467,11.875
22.2,4.467,6.875
22.4,4.467,7.5
15.0,5.012,6.25
15.2,5.012,5.625
15.4,5.012,5.0
15.6,5.012,5.0
15.8,5.012,6.25
16.0,5.012,4.375
16.2,5.012,8.125
16.4,5.012,8.125
16.6,5.012,12.5
16.8,5.012,16.875
17.0,5.012,40.625
17.2,5.012,58.125
17.4,5.012,63.75
17.6,5.012,72.5
17.8,5.012,73.125
18.0,5.012,77.5
18.2,5.012,85.625
18.4,5.012,84.375
18.6,5.012,86.25
18.8,5.012,78.125
19.0,5.012,83.75
19.2,5.012,80.0
19.4,5.012,84.375
19.6,5.012,86.25
19.8,5.012,75.625
20.0,5.012,70.0
20.2,5.012,70.0
20.4,5.012,73.75
20.6,5.012,60.0
20.8,5.012,51.875
21.0,5.012,51.25
21.2,5.012,35.0
21.4,5.012,26.875
21.6,5.012,15.0
21.8,5.012,13.125
22.0,5.012,10.0
22.2,5.012,10.0
22.4,5.012,8.125
15.0,6.31,6.25
15.2,6.31,6.25
15.4,6.31,6.25
15.6,6.31,8.125
15.8,6.31,5.625
16.0,6.31,9.375
16.2,6.31,10.625
16.4,6.31,23.125
16.6,6.31,45.625
16.8,6.31,60.0
17.0,6.31,68.75
17.2,6.31,79.375
17.4,6.31,84.375
17.6,6.31,86.875
17.8,6.31,90.0
18.0,6.31,91.25
18.2,6.31,87.5
18.4,6.31,91.875
18.6,6.31,89.375
18.8,6.31,88.75
19.0,6.31,88.125
19.2,6.31,87.5
19.4,6.31,84.375
19.6,6.31,90.0
19.8,6.31,83.125
20.0,6.31,80.625
20.2,6.31,80.0
20.4,6.31,80.0
20.6,6.31,73.75
20.8,6.31,68.125
21.0,6.31,46.25
21.2,6.31,31.25
21.4,6.31,25.0
21.6,6.31,13.125
21.8,6.31,9.375
22.0,6.31,9.375
22.2,6.31,10.625
22.4,6.31,9.375
15.0,7.943,2.5
15.2,7.943,6.25
15.4,7.943,3.75
15.6,7.943,8.125
15.8,7.943,9.375
16.0,7.943,19.375
16.2,7.943,41.875
16.4,7.943,65.625
16.6,7.943,77.5
16.8,7.943,84.375
17.0,7.943,88.75
17.2,7.943,93.75
17.4,7.943,91.875
17.6,7.943,94.375
17.8,7.943,95.0
18.0,7.943,94.375
18.2,7.943,95.625
18.4,7.943,96.875
18.6,7.943,95.0
18.8,7.943,96.875
19.0,7.943,91.875
19.2,7.943,90.0
19.4,7.943,93.75
19.6,7.943,91.25
19.8,7.943,87.5
20.0,7.943,89.375
20.2,7.943,83.75
20.4,7.943,83.75
20.6,7.943,71.25
20.8,7.943,62.5
21.0,7.943,50.0
21.2,7.943,35.625
21.4,7.943,23.75
21.6,7.943,14.375
21.8,7.943,15.0
22.0,7.943,8.125
22.2,7.943,11.25
22.4,7.943,10.625
15.0,10.0,3.125
15.2,10.0,6.875
15.4,10.0,6.875
15.6,10.0,15.0
15.8,10.0,30.0
16.0,10.0,63.75
16.2,10.0,80.0
16.4,10.0,90.0
16.6,10.0,89.375
16.8,10.0,93.125
17.0,10.0,96.25
17.2,10.0,97.5
17.4,10.0,98.75
17.6,10.0,93.75
17.8,10.0,96.25
18.0,10.0,92.5
18.2,10.0,96.875
18.4,10.0,95.625
18.6,10.0,93.75
18.8,10.0,96.875
19.0,10.0,93.75
19.2,10.0,95.0
19.4,10.0,92.5
19.6,10.0,93.75
19.8,10.0,90.625
20.0,10.0,92.5
20.2,10.0,91.25
20.4,10.0,83.75
20.6,10.0,74.375
20.8,10.0,66.875
21.0,10.0,55.625
21.2,10.0,30.625
21.4,10.0,18.75
21.6,10.0,10.0
21.8,10.0,13.75
22.0,10.0,6.25
22.2,10.0,8.125
