mag,rho,eff_rd
16.4,3.162,1.25
16.6,3.162,2.5
16.8,3.162,1.25
17.0,3.162,3.75
17.2,3.162,0.0
17.4,3.162,3.75
17.6,3.162,5.0
17.8,3.162,10.0
18.0,3.162,12.5
18.2,3.162,20.0
18.4,3.162,27.5
18.6,3.162,31.25
18.8,3.162,31.25
19.0,3.162,41.25
19.2,3.162,37.5
19.4,3.162,37.5
19.6,3.162,40.0
19.8,3.162,43.75
20.0,3.162,32.5
20.2,3.162,37.5
20.4,3.162,28.75
20.6,3.162,21.25
20.8,3.162,21.25
21.0,3.162,22.5
21.2,3.162,13.75
21.4,3.162,15.0
21.6,3.162,13.75
21.8,3.162,8.75
22.0,3.162,8.75
22.2,3.162,8.75
22.4,3.162,2.5
16.4,3.548,1.25
16.6,3.548,0.0
16.8,3.548,0.0
17.0,3.548,1.25
17.2,3.548,11.25
17.4,3.548,6.25
17.6,3.548,20.0
17.8,3.548,25.0
18.0,3.548,37.5
18.2,3.548,48.75
18.4,3.548,38.75
18.6,3.548,62.5
18.8,3.548,60.0
19.0,3.548,61.25
19.2,3.548,67.5
19.4,3.548,68.75
19.6,3.548,61.25
19.8,3.548,56.25
20.0,3.548,55.0
20.2,3.548,52.5
20.4,3.548,43.75
20.6,3.548,33.75
20.8,3.548,22.5
21.0,3.548,33.75
21.2,3.548,18.75
21.4,3.548,10.0
21.6,3.548,12.5
21.8,3.548,3.75
22.0,3.548,5.0
22.2,3.548,1.25
22.4,3.548,2.5
16.4,4.467,3.75
16.6,4.467,5.0
16.8,4.467,1.25
17.0,4.467,11.25
17.2,4.467,38.75
17.4,4.467,45.0
17.6,4.467,62.5
17.8,4.467,56.25
18.0,4.467,68.75
18.2,4.467,71.25
18.4,4.467,68.75
18.6,4.467,71.25
18.8,4.467,76.25
19.0,4.467,78.75
19.2,4.467,71.25
19.4,4.467,72.5
19.6,4.467,82.5
19.8,4.467,71.25
20.0,4.467,68.75
20.2,4.467,65.0
20.4,4.467,56.25
20.6,4.467,50.0
20.8,4.467,47.5
21.0,4.467,41.25
21.2,4.467,35.0
21.4,4.467,15.0
21.6,4.467,10.0
21.8,4.467,7.5
22.0,4.467,1.25
22.2,4.467,5.0
22.4,4.467,5.0
16.4,5.012,6.25
16.6,5.012,5.0
16.8,5.012,16.25
17.0,5.012,23.75
17.2,5.012,58.75
17.4,5.012,65.0
17.6,5.012,76.25
17.8,5.012,66.25
18.0,5.012,80.0
18.2,5.012,73.75
18.4,5.012,75.0
18.6,5.012,81.25
18.8,5.012,77.5
19.0,5.012,85.0
19.2,5.012,71.25
19.4,5.012,81.25
19.6,5.012,85.0
19.8,5.012,71.25
20.0,5.012,71.25
20.2,5.012,72.5
20.4,5.012,65.0
20.6,5.012,61.25
20.8,5.012,55.0
21.0,5.012,40.0
21.2,5.012,31.25
21.4,5.012,15.0
21.6,5.012,7.5
21.8,5.012,5.0
22.0,5.012,3.75
22.2,5.012,3.75
22.4,5.012,2.5
16.4,6.31,18.75
16.6,6.31,35.0
16.8,6.31,56.25
17.0,6.31,72.5
17.2,6.31,80.0
17.4,6.31,85.0
17.6,6.31,86.25
17.8,6.31,88.75
18.0,6.31,88.75
18.2,6.31,85.0
18.4,6.31,88.75
18.6,6.31,82.5
18.8,6.31,87.5
19.0,6.31,86.25
19.2,6.31,85.0
19.4,6.31,86.25
19.6,6.31,86.25
19.8,6.31,87.5
