mag,rho,eff_rd
18.0,12.589,94.375
18.2,12.589,93.75
18.4,12.589,95.625
18.6,12.589,95.625
18.8,12.589,96.875
19.0,12.589,97.5
19.2,12.589,93.75
19.4,12.589,96.25
19.6,12.589,91.25
19.8,12.589,88.75
20.0,12.589,92.5
20.2,12.589,91.25
20.4,12.589,92.5
20.6,12.589,81.875
20.8,12.589,71.25
21.0,12.589,59.375
21.2,12.589,45.625
21.4,12.589,32.5
21.6,12.589,18.125
21.8,12.589,12.5
22.0,12.589,8.75
22.2,12.589,5.625
22.4,12.589,6.25
15.4,17.783,14.375
15.6,17.783,26.875
15.8,17.783,60.625
16.0,17.783,90.0
16.2,17.783,96.25
16.4,17.783,93.75
16.6,17.783,96.25
16.8,17.783,96.25
17.0,17.783,96.25
17.2,17.783,91.875
17.4,17.783,95.625
17.6,17.783,95.625
17.8,17.783,95.0
18.0,17.783,99.375
18.2,17.783,94.375
18.4,17.783,93.125
18.6,17.783,96.25
18.8,17.783,95.625
19.0,17.783,96.25
19.2,17.783,96.25
19.4,17.783,96.25
19.6,17.783,88.75
19.8,17.783,96.875
20.0,17.783,90.625
20.2,17.783,92.5
20.4,17.783,90.0
20.6,17.783,86.25
20.8,17.783,67.5
21.0,17.783,60.625
21.2,17.783,41.875
21.4,17.783,35.625
21.6,17.783,13.125
21.8,17.783,13.125
22.0,17.783,13.125
22.2,17.783,5.0
22.4,17.783,6.25
15.4,25.119,70.625
15.6,25.119,85.0
15.8,25.119,93.125
16.0,25.119,91.25
16.2,25.119,94.375
16.4,25.119,96.875
16.6,25.119,93.125
16.8,25.119,93.125
17.0,25.119,96.875
17.2,25.119,95.625
17.4,25.119,98.75
17.6,25.119,96.25
17.8,25.119,95.625
18.0,25.119,95.625
18.2,25.119,97.5
18.4,25.119,96.25
18.6,25.119,95.0
18.8,25.119,92.5
19.0,25.119,94.375
19.2,25.119,92.5
19.4,25.119,95.625
19.6,25.119,92.5
19.8,25.119,91.875
20.0,25.119,95.625
20.2,25.119,93.125
20.4,25.119,88.125
20.6,25.119,81.875
20.8,25.119,72.5
21.0,25.119,60.625
21.2,25.119,46.25
21.4,25.119,25.625
21.6,25.119,13.75
21.8,25.119,10.625
22.0,25.119,5.0
22.2,25.119,5.625
22.4,25.119,8.125
15.4,39.811,95.625
15.6,39.811,97.5
15.8,39.811,94.375
16.0,39.811,95.625
16.2,39.811,98.125
16.4,39.811,93.75
16.6,39.811,95.625
16.8,39.811,98.75
17.0,39.811,96.875
17.2,39.811,98.75
17.4,39.811,94.375
17.6,39.811,92.5
17.8,39.811,95.0
18.0,39.811,94.375
18.2,39.811,96.875
18.4,39.811,94.375
18.6,39.811,95.625
18.8,39.811,95.625
19.0,39.811,95.0
19.2,39.811,96.875
19.4,39.811,91.875
19.6,39.811,92.5
19.8,39.811,91.25
20.0,39.811,93.75
20.2,39.811,92.5
20.4,39.811,83.125
20.6,39.811,86.875
20.8,39.811,66.875
21.0,39.811,50.0
21.2,39.811,41.875
21.4,39.811,25.625
21.6,39.811,15.625
21.8,39.811,6.875
22.0,39.811,6.25
22.2,39.811,5.625
22.4,39.811,5.625
15.4,56.234,95.625
15.6,56.234,98.125
15.8,56.234,95.625
16.0,56.234,96.25
16.2,56.234,96.875
16.4,56.234,96.875
16.6,56.234,94.375
16.8,56.234,96.25
17.0,56.234,94.375
17.2,56.234,96.875
17.4,56.234,98.125
17.6,56.234,96.25
17.8,56.234,95.625
18.0,56.234,96.875
18.2,56.234,95.625
18.4,56.234,96.875
18.6,56.234,97.5
18.8,56.234,93.75
19.0,56.234,96.25
19.2,56.234,93.125
19.4,56.234,97.5
19.6,56.234,95.625
19.8,56.234,92.5
20.0,56.234,95.625
20.2,56.234,90.0
20.4,56.234,88.75
20.6,56.234,82.5
20.8,56.234,58.75
21.0,56.234,54.375
21.2,56.234,35.625
21.4,56.234,13.125
21.6,56.234,10.625
21.8,56.234,9.375
22.0,56.234,8.125
22.2,56.234,6.25
22.4,56.234,4.375
15.4,100.0,98.125
15.6,100.0,93.75
15.8,100.0,97.5
16.0,100.0,95.625
16.2,100.0,96.25
16.4,100.0,96.25
16.6,100.0,96.875
16.8,100.0,95.0
17.0,100.0,98.125
17.2,100.0,95.0
17.4,100.0,96.25
17.6,100.0,96.25
17.8,100.0,97.5
18.0,100.0,96.25
18.2,100.0,95.625
18.4,100.0,98.125
18.6,100.0,98.125
18.8,100.0,95.625
19.0,100.0,93.125
19.2,100.0,93.75
19.4,100.0,95.625
19.6,100.0,96.875
19.8,100.0,91.875
20.0,100.0,92.5
20.2,100.0,91.25
20.4,100.0,86.25
20.6,100.0,71.25
20.8,100.0,61.875
21.0,100.0,52.5
21.2,100.0,21.25
21.4,100.0,16.875
21.6,100.0,8.125
21.8,100.0,7.5
22.0,100.0,3.125
22.2,100.0,5.625
22.4,100.0,5.0
15.4,177.828,95.625
15.6,177.828,99.375
15.8,177.828,95.625
16.0,177.828,98.125
16.2,177.828,99.375
16.4,177.828,95.0
16.6,177.828,96.875
16.8,177.828,96.875
17.0,177.828,98.125
17.2,177.828,96.25
17.4,177.828,98.125
17.6,177.828,95.0
17.8,177.828,96.875
18.0,177.828,94.375
18.2,177.828,93.125
18.4,177.828,97.5
18.6,177.828,93.75
18.8,177.828,97.5
19.0,177.828,96.875
19.2,177.828,97.5
19.4,177.828,96.875
19.6,177.828,93.75
19.8,177.828,91.875
20.0,177.828,91.25
20.2,177.828,86.875
20.4,177.828,81.875
20.6,177.828,70.625
20.8,177.828,51.875
21.0,177.828,30.0
21.2,177.828,16.875
21.4,177.828,10.0
21.6,177.828,12.5
21.8,177.828,5.625
22.0,177.828,1.875
22.2,177.828,2.5
22.4,177.828,3.75
15.4,316.228,97.5
15.6,316.228,98.125
15.8,316.228,98.125
16.0,316.228,95.625
16.2,316.228,97.5
16.4,316.228,98.125
16.6,316.228,96.25
16.8,316.228,98.125
17.0,316.228,96.875
17.2,316.228,97.5
17.4,316.228,98.125
17.6,316.228,96.875
17.8,316.228,95.0
18.0,316.228,96.25
18.2,316.228,95.625
18.4,316.228,96.25
18.6,316.228,95.625
18.8,316.228,96.25
19.0,316.228,95.0
19.2,316.228,96.25
19.4,316.228,95.625
19.6,316.228,97.5
19.8,316.228,97.5
20.0,316.228,92.5
20.2,316.228,87.5
20.4,316.228,82.5
20.6,316.228,66.25
20.8,316.228,46.875
21.0,316.228,29.375
21.2,316.228,20.0
21.4,316.228,13.75
21.6,316.228,4.375
21.8,316.228,6.875
22.0,316.228,10.0
22.2,316.228,4.375
22.4,316.228,3.125
15.4,630.957,98.75
15.6,630.957,97.5
15.8,630.957,99.375
16.0,630.957,100.0
16.2,630.957,98.125
16.4,630.957,96.25
16.6,630.957,93.75
16.8,630.957,96.875
17.0,630.957,94.375
17.2,630.957,97.5
17.4,630.957,97.5
17.6,630.957,97.5
17.8,630.957,96.25
18.0,630.957,95.0
18.2,630.957,97.5
18.4,630.957,98.125
18.6,630.957,98.75
18.8,630.957,95.625
19.0,630.957,96.875
19.2,630.957,91.875
19.4,630.957,98.75
19.6,630.957,91.25
19.8,630.957,95.0
20.0,630.957,90.625
20.2,630.957,83.75
20.4,630.957,73.125
20.6,630.957,55.0
20.8,630.957,43.75
21.0,630.957,21.25
21.2,630.957,15.0
21.4,630.957,5.625
21.6,630.957,6.25
21.8,630.957,5.0
22.0,630.957,5.625
22.2,630.957,6.875
22.4,630.957,5.625
15.4,1412.538,96.875
15.6,1412.538,98.125
15.8,1412.538,98.125
16.0,1412.538,97.5
16.2,1412.538,98.75
16.4,1412.538,97.5
16.6,1412.538,98.125
16.8,1412.538,96.875
17.0,1412.538,98.125
17.2,1412.538,97.5
17.4,1412.538,95.0
17.6,1412.538,98.125
17.8,1412.538,94.375
18.0,1412.538,97.5
18.2,1412.538,95.625
18.4,1412.538,97.5
18.6,1412.538,96.875
18.8,1412.538,96.875
19.0,1412.538,95.0
19.2,1412.538,93.75
19.4,1412.538,93.125
19.6,1412.538,92.5
19.8,1412.538,91.25
20.0,1412.538,86.25
20.2,1412.538,80.0
20.4,1412.538,68.75
20.6,1412.538,36.875
20.8,1412.538,28.125
21.0,1412.538,20.0
21.2,1412.538,10.625
21.4,1412.538,12.5
21.6,1412.538,10.0
21.8,1412.538,3.75
22.0,1412.538,1.25
22.2,1412.538,1.25
22.4,1412.538,5.0
15.4,3548.134,98.75
15.6,3548.134,98.125
15.8,3548.134,96.875
16.0,3548.134,98.125
16.2,3548.134,97.5
16.4,3548.134,95.625
16.6,3548.134,96.875
16.8,3548.134,100.0
17.0,3548.134,96.875
17.2,3548.134,97.5
17.4,3548.134,97.5
17.6,3548.134,98.75
17.8,3548.134,96.25
