mag,rho,eff_rd
16.6,3.162,2.5
16.8,3.162,2.5
17.0,3.162,2.5
17.2,3.162,3.75
17.4,3.162,5.0
17.6,3.162,5.0
17.8,3.162,3.75
18.0,3.162,11.25
18.2,3.162,10.0
18.4,3.162,7.5
18.6,3.162,10.0
18.8,3.162,10.0
19.0,3.162,11.25
19.2,3.162,18.75
19.4,3.162,20.0
19.6,3.162,8.75
19.8,3.162,23.75
20.0,3.162,21.25
20.2,3.162,15.0
20.4,3.162,11.25
20.6,3.162,10.0
20.8,3.162,12.5
21.0,3.162,16.25
21.2,3.162,11.25
21.4,3.162,10.0
21.6,3.162,11.25
21.8,3.162,8.75
22.0,3.162,15.0
22.2,3.162,8.75
22.4,3.162,3.75
16.6,3.548,2.5
16.8,3.548,2.5
17.0,3.548,3.75
17.2,3.548,1.25
17.4,3.548,7.5
17.6,3.548,10.0
17.8,3.548,11.25
18.0,3.548,18.75
18.2,3.548,16.25
18.4,3.548,20.0
18.6,3.548,21.25
18.8,3.548,26.25
19.0,3.548,25.0
19.2,3.548,23.75
19.4,3.548,35.0
19.6,3.548,20.0
19.8,3.548,25.0
20.0,3.548,23.75
20.2,3.548,22.5
20.4,3.548,21.25
20.6,3.548,17.5
20.8,3.548,12.5
21.0,3.548,11.25
21.2,3.548,8.75
21.4,3.548,6.25
21.6,3.548,11.25
21.8,3.548,15.0
22.0,3.548,3.75
22.2,3.548,8.75
22.4,3.548,3.75
16.6,4.467,7.5
16.8,4.467,5.0
17.0,4.467,3.75
17.2,4.467,11.25
17.4,4.467,11.25
17.6,4.467,31.25
17.8,4.467,27.5
18.0,4.467,36.25
18.2,4.467,31.25
18.4,4.467,37.5
18.6,4.467,45.0
18.8,4.467,50.0
19.0,4.467,53.75
19.2,4.467,38.75
19.4,4.467,45.0
19.6,4.467,47.5
19.8,4.467,38.75
20.0,4.467,48.75
20.2,4.467,43.75
20.4,4.467,30.0
20.6,4.467,33.75
20.8,4.467,21.25
21.0,4.467,17.5
21.2,4.467,17.5
21.4,4.467,11.25
21.6,4.467,11.25
21.8,4.467,12.5
22.0,4.467,3.75
22.2,4.467,7.5
22.4,4.467,1.25
16.6,5.012,11.25
16.8,5.012,2.5
17.0,5.012,10.0
17.2,5.012,10.0
17.4,5.012,26.25
17.6,5.012,45.0
17.8,5.012,40.0
18.0,5.012,42.5
18.2,5.012,48.75
18.4,5.012,52.5
18.6,5.012,61.25
18.8,5.012,52.5
19.0,5.012,65.0
19.2,5.012,55.0
19.4,5.012,61.25
19.6,5.012,55.0
19.8,5.012,53.75
20.0,5.012,50.0
20.2,5.012,41.25
20.4,5.012,46.25
20.6,5.012,32.5
20.8,5.012,11.25
21.0,5.012,23.75
21.2,5.012,11.25
21.4,5.012,7.5
21.6,5.012,7.5
21.8,5.012,11.25
22.0,5.012,8.75
22.2,5.012,7.5
22.4,5.012,5.0
16.6,6.31,6.25
16.8,6.31,16.25
17.0,6.31,30.0
