mag,rho,eff_rd
15.0,3.162,3.75
15.2,3.162,2.5
15.4,3.162,3.75
15.6,3.162,3.125
15.8,3.162,4.375
16.0,3.162,2.5
16.2,3.162,3.75
16.4,3.162,2.5
16.6,3.162,3.75
16.8,3.162,5.625
17.0,3.162,5.0
17.2,3.162,5.0
17.4,3.162,5.625
17.6,3.162,4.375
17.8,3.162,15.0
18.0,3.162,15.0
18.2,3.162,24.375
18.4,3.162,24.375
18.6,3.162,33.125
18.8,3.162,40.625
19.0,3.162,44.375
19.2,3.162,45.625
19.4,3.162,46.875
19.6,3.162,53.75
19.8,3.162,47.5
20.0,3.162,41.875
20.2,3.162,41.25
20.4,3.162,39.375
20.6,3.162,30.0
20.8,3.162,21.25
21.0,3.162,18.75
21.2,3.162,21.875
21.4,3.162,12.5
21.6,3.162,13.125
21.8,3.162,11.25
22.0,3.162,10.0
22.2,3.162,5.625
22.4,3.162,5.0
15.0,3.548,1.875
15.2,3.548,4.375
15.4,3.548,5.0
15.6,3.548,3.125
15.8,3.548,1.875
16.0,3.548,0.625
16.2,3.548,3.125
16.4,3.548,5.0
16.6,3.548,5.625
16.8,3.548,1.875
17.0,3.548,3.75
17.2,3.548,8.125
17.4,3.548,6.25
17.6,3.548,18.125
17.8,3.548,31.25
18.0,3.548,36.875
18.2,3.548,43.125
18.4,3.548,47.5
18.6,3.548,51.875
18.8,3.548,61.875
19.0,3.548,56.875
19.2,3.548,59.375
19.4,3.548,58.75
19.6,3.548,56.25
19.8,3.548,54.375
20.0,3.548,57.5
20.2,3.548,52.5
20.4,3.548,47.5
20.6,3.548,48.75
20.8,3.548,40.0
21.0,3.548,25.625
21.2,3.548,27.5
21.4,3.548,18.75
21.6,3.548,14.375
21.8,3.548,14.375
22.0,3.548,12.5
22.2,3.548,8.75
22.4,3.548,6.25
15.0,4.467,4.375
15.2,4.467,3.125
15.4,4.467,6.875
15.6,4.467,1.875
15.8,4.467,2.5
16.0,4.467,4.375
16.2,4.467,1.875
16.4,4.467,3.125
16.6,4.467,5.0
16.8,4.467,8.125
17.0,4.467,15.625
17.2,4.467,19.375
17.4,4.467,39.375
17.6,4.467,49.375
17.8,4.467,58.75
18.0,4.467,69.375
18.2,4.467,71.25
18.4,4.467,77.5
18.6,4.467,72.5
18.8,4.467,80.0
19.0,4.467,74.375
19.2,4.467,78.125
19.4,4.467,73.125
19.6,4.467,71.875
19.8,4.467,75.0
20.0,4.467,70.0
20.2,4.467,73.75
20.4,4.467,70.0
20.6,4.467,55.625
20.8,4.467,52.5
21.0,4.467,41.875
21.2,4.467,34.375
21.4,4.467,27.5
21.6,4.467,19.375
21.8,4.467,11.25
22.0,4.467,4.375
22.2,4.467,5.0
22.4,4.467,7.5
15.0,5.012,1.875
15.2,5.012,8.125
15.4,5.012,5.625
15.6,5.012,3.125
15.8,5.012,1.875
16.0,5.012,3.125
16.2,5.012,5.0
16.4,5.012,5.0
16.6,5.012,5.0
16.8,5.012,15.0
17.0,5.012,28.125
17.2,5.012,50.0
17.4,5.012,53.75
17.6,5.012,63.75
17.8,5.012,75.625
18.0,5.012,81.25
18.2,5.012,76.25
18.4,5.012,82.5
18.6,5.012,83.125
18.8,5.012,86.25
19.0,5.012,84.375
19.2,5.012,85.0
19.4,5.012,81.875
19.6,5.012,85.0
19.8,5.012,79.375
20.0,5.012,79.375
20.2,5.012,65.625
20.4,5.012,67.5
20.6,5.012,64.375
20.8,5.012,53.125
21.0,5.012,51.875
21.2,5.012,35.625
21.4,5.012,27.5
21.6,5.012,14.375
21.8,5.012,10.625
22.0,5.012,5.0
22.2,5.012,10.625
22.4,5.012,3.75
15.0,6.31,1.875
15.2,6.31,3.75
15.4,6.31,4.375
15.6,6.31,3.125
15.8,6.31,5.0
16.0,6.31,2.5
16.2,6.31,6.25
16.4,6.31,14.375
16.6,6.31,28.125
16.8,6.31,44.375
17.0,6.31,65.0
17.2,6.31,77.5
17.4,6.31,76.25
17.6,6.31,85.0
17.8,6.31,90.0
18.0,6.31,90.625
18.2,6.31,91.875
18.4,6.31,91.25
18.6,6.31,93.75
18.8,6.31,94.375
19.0,6.31,91.875
19.2,6.31,89.375
19.4,6.31,86.875
19.6,6.31,88.125
19.8,6.31,85.0
20.0,6.31,80.625
20.2,6.31,81.25
20.4,6.31,76.875
20.6,6.31,77.5
20.8,6.31,63.75
21.0,6.31,58.125
21.2,6.31,40.0
21.4,6.31,20.625
21.6,6.31,18.75
21.8,6.31,11.875
22.0,6.31,10.625
22.2,6.31,8.125
22.4,6.31,5.625
15.0,7.943,0.625
15.2,7.943,2.5
15.4,7.943,1.875
15.6,7.943,2.5
15.8,7.943,5.0
16.0,7.943,14.375
16.2,7.943,25.0
16.4,7.943,47.5
16.6,7.943,71.25
16.8,7.943,78.125
17.0,7.943,86.25
17.2,7.943,91.25
17.4,7.943,93.75
17.6,7.943,94.375
17.8,7.943,96.875
18.0,7.943,95.0
18.2,7.943,95.0
18.4,7.943,95.625
18.6,7.943,93.75
18.8,7.943,93.75
19.0,7.943,93.125
19.2,7.943,93.75
19.4,7.943,92.5
19.6,7.943,91.875
19.8,7.943,91.25
20.0,7.943,87.5
20.2,7.943,81.875
20.4,7.943,81.25
20.6,7.943,84.375
20.8,7.943,75.625
21.0,7.943,55.625
21.2,7.943,35.625
21.4,7.943,30.0
21.6,7.943,12.5
21.8,7.943,8.75
22.0,7.943,8.125
22.2,7.943,7.5
22.4,7.943,4.375
15.0,10.0,4.375
15.2,10.0,4.375
15.4,10.0,2.5
15.6,10.0,5.0
15.8,10.0,18.125
16.0,10.0,38.75
16.2,10.0,65.0
16.4,10.0,85.625
16.6,10.0,93.125
16.8,10.0,95.0
17.0,10.0,96.25
17.2,10.0,96.25
17.4,10.0,95.0
17.6,10.0,96.25
17.8,10.0,95.0
18.0,10.0,95.0
18.2,10.0,97.5
18.4,10.0,94.375
18.6,10.0,97.5
18.8,10.0,92.5
19.0,10.0,96.25
19.2,10.0,92.5
19.4,10.0,90.0
19.6,10.0,93.75
19.8,10.0,90.625
20.0,10.0,92.5
20.2,10.0,86.875
20.4,10.0,83.125
20.6,10.0,78.75
20.8,10.0,71.875
21.0,10.0,58.75
21.2,10.0,34.375
21.4,10.0,19.375
21.6,10.0,16.25
21.8,10.0,8.75
22.0,10.0,7.5
22.2,10.0,6.875
22.4,10.0,5.625
15.0,12.589,3.75
15.2,12.589,5.0
15.4,12.589,10.625
15.6,12.589,15.625
15.8,12.589,55.0
16.0,12.589,78.125
16.2,12.589,93.125
16.4,12.589,95.0
16.6,12.589,94.375
16.8,12.589,96.25
17.0,12.589,98.75
17.2,12.589,96.875
17.4,12.589,96.875
17.6,12.589,96.25
17.8,12.589,98.125
18.0,12.589,96.875
18.2,12.589,96.25
18.4,12.589,95.625
18.6,12.589,95.625
18.8,12.589,93.75
19.0,12.589,95.625
19.2,12.589,96.875
19.4,12.589,96.875
19.6,12.589,95.0
19.8,12.589,95.625
20.0,12.589,95.0
20.2,12.589,91.875
20.4,12.589,88.75
20.6,12.589,78.125
20.8,12.589,68.75
21.0,12.589,48.75
21.2,12.589,35.625
21.4,12.589,23.75
21.6,12.589,15.0
21.8,12.589,8.75
22.0,12.589,5.625
22.2,12.589,10.0
22.4,12.589,4.375
15.0,17.783,10.625
15.2,17.783,15.625
15.4,17.783,44.375
15.6,17.783,85.625
15.8,17.783,93.75
16.0,17.783,94.375
16.2,17.783,98.125
16.4,17.783,94.375
16.6,17.783,97.5
16.8,17.783,95.0
17.0,17.783,100.0
17.2,17.783,96.25
17.4,17.783,98.125
17.6,17.783,95.0
17.8,17.783,96.25
18.0,17.783,97.5
18.2,17.783,96.25
18.4,17.783,96.875
18.6,17.783,95.625
18.8,17.783,96.25
19.0,17.783,94.375
19.2,17.783,98.75
19.4,17.783,96.875
19.6,17.783,98.125
19.8,17.783,95.625
20.0,17.783,95.625
20.2,17.783,91.875
20.4,17.783,88.75
20.6,17.783,80.625
20.8,17.783,71.875
21.0,17.783,56.875
21.2,17.783,42.5
21.4,17.783,19.375
21.6,17.783,13.125
21.8,17.783,11.25
22.0,17.783,8.75
22.2,17.783,5.0
22.4,17.783,4.375
15.0,25.119,69.375
15.2,25.119,76.25
15.4,25.119,92.5
15.6,25.119,98.75
15.8,25.119,98.125
16.0,25.119,96.875
16.2,25.119,98.125
16.4,25.119,94.375
16.6,25.119,99.375
16.8,25.119,98.75
17.0,25.119,96.25
17.2,25.119,97.5
17.4,25.119,94.375
17.6,25.119,97.5
17.8,25.119,95.0
18.0,25.119,96.875
18.2,25.119,94.375
18.4,25.119,95.0
18.6,25.119,96.25
18.8,25.119,95.625
19.0,25.119,96.25
19.2,25.119,96.25
19.4,25.119,95.0
19.6,25.119,94.375
19.8,25.119,93.75
20.0,25.119,94.375
20.2,25.119,93.125
20.4,25.119,88.125
20.6,25.119,75.0
20.8,25.119,65.625
21.0,25.119,40.0
21.2,25.119,35.625
