mag,rho,eff_rd
17.6,25.119,93.75
17.8,25.119,87.5
18.0,25.119,88.75
18.2,25.119,92.5
18.4,25.119,92.5
18.6,25.119,95.0
18.8,25.119,83.75
19.0,25.119,90.0
19.2,25.119,88.75
19.4,25.119,93.75
19.6,25.119,81.25
19.8,25.119,92.5
20.0,25.119,90.0
20.2,25.119,80.0
20.4,25.119,86.25
20.6,25.119,80.0
20.8,25.119,71.25
21.0,25.119,57.5
21.2,25.119,38.75
21.4,25.119,26.25
21.6,25.119,17.5
21.8,25.119,6.25
22.0,25.119,7.5
22.2,25.119,5.0
22.4,25.119,5.0
16.8,39.811,87.5
17.0,39.811,92.5
17.2,39.811,92.5
17.4,39.811,87.5
17.6,39.811,91.25
17.8,39.811,92.5
18.0,39.811,87.5
18.2,39.811,88.75
18.4,39.811,90.0
18.6,39.811,87.5
18.8,39.811,90.0
19.0,39.811,87.5
19.2,39.811,91.25
19.4,39.811,86.25
19.6,39.811,81.25
19.8,39.811,87.5
20.0,39.811,82.5
20.2,39.811,80.0
20.4,39.811,78.75
20.6,39.811,63.75
20.8,39.811,66.25
21.0,39.811,42.5
21.2,39.811,38.75
21.4,39.811,21.25
21.6,39.811,18.75
21.8,39.811,13.75
22.0,39.811,6.25
22.2,39.811,5.0
22.4,39.811,1.25
16.8,56.234,88.75
17.0,56.234,90.0
17.2,56.234,92.5
17.4,56.234,92.5
17.6,56.234,96.25
17.8,56.234,90.0
18.0,56.234,91.25
18.2,56.234,93.75
18.4,56.234,93.75
18.6,56.234,90.0
18.8,56.234,88.75
19.0,56.234,85.0
19.2,56.234,87.5
19.4,56.234,91.25
19.6,56.234,95.0
19.8,56.234,86.25
20.0,56.234,85.0
20.2,56.234,78.75
20.4,56.234,72.5
20.6,56.234,61.25
20.8,56.234,60.0
21.0,56.234,48.75
21.2,56.234,31.25
21.4,56.234,18.75
21.6,56.234,22.5
21.8,56.234,11.25
22.0,56.234,5.0
22.2,56.234,7.5
22.4,56.234,3.75
16.8,100.0,93.75
17.0,100.0,95.0
17.2,100.0,92.5
17.4,100.0,90.0
17.6,100.0,93.75
17.8,100.0,88.75
18.0,100.0,91.25
18.2,100.0,95.0
18.4,100.0,93.75
18.6,100.0,93.75
18.8,100.0,92.5
19.0,100.0,90.0
19.2,100.0,91.25
19.4,100.0,83.75
19.6,100.0,88.75
19.8,100.0,83.75
20.0,100.0,87.5
20.2,100.0,86.25
20.4,100.0,80.0
20.6,100.0,77.5
20.8,100.0,53.75
21.0,100.0,40.0
21.2,100.0,22.5
21.4,100.0,27.5
21.6,100.0,11.25
21.8,100.0,7.5
22.0,100.0,6.25
22.2,100.0,0.0
22.4,100.0,5.0
16.8,177.828,96.25
17.0,177.828,88.75
17.2,177.828,92.5
17.4,177.828,90.0
17.6,177.828,93.75
17.8,177.828,86.25
18.0,177.828,92.5
18.2,177.828,92.5
18.4,177.828,91.25
18.6,177.828,93.75
18.8,177.828,93.75
19.0,177.828,96.25
19.2,177.828,93.75
19.4,177.828,87.5
19.6,177.828,92.5
19.8,177.828,85.0
20.0,177.828,87.5
20.2,177.828,85.0
20.4,177.828,71.25
20.6,177.828,57.5
20.8,177.828,46.25
21.0,177.828,37.5
21.2,177.828,16.25
21.4,177.828,12.5
21.6,177.828,13.75
21.8,177.828,5.0
22.0,177.828,6.25
22.2,177.828,3.75
22.4,177.828,5.0
16.8,316.228,93.75
17.0,316.228,98.75
17.2,316.228,96.25
17.4,316.228,92.5
17.6,316.228,96.25
17.8,316.228,91.25
18.0,316.228,92.5
18.2,316.228,91.25
18.4,316.228,88.75
18.6,316.228,88.75
18.8,316.228,90.0
19.0,316.228,92.5
19.2,316.228,87.5
19.4,316.228,80.0
19.6,316.228,88.75
19.8,316.228,87.5
20.0,316.228,87.5
20.2,316.228,77.5
20.4,316.228,72.5
20.6,316.228,57.5
20.8,316.228,51.25
21.0,316.228,26.25
21.2,316.228,21.25
21.4,316.228,10.0
21.6,316.228,16.25
21.8,316.228,2.5
22.0,316.228,3.75
22.2,316.228,7.5
22.4,316.228,2.5
16.8,630.957,92.5
17.0,630.957,91.25
17.2,630.957,97.5
17.4,630.957,90.0
17.6,630.957,92.5
17.8,630.957,91.25
18.0,630.957,96.25
18.2,630.957,88.75
18.4,630.957,92.5
18.6,630.957,93.75
18.8,630.957,88.75
19.0,630.957,86.25
19.2,630.957,91.25
19.4,630.957,97.5
19.6,630.957,88.75
19.8,630.957,88.75
20.0,630.957,83.75
20.2,630.957,75.0
20.4,630.957,66.25
20.6,630.957,50.0
20.8,630.957,45.0
21.0,630.957,12.5
21.2,630.957,18.75
21.4,630.957,12.5
21.6,630.957,7.5
21.8,630.957,7.5
22.0,630.957,2.5
22.2,630.957,1.25
22.4,630.957,3.75
16.8,1412.538,95.0
17.0,1412.538,93.75
17.2,1412.538,91.25
17.4,1412.538,86.25
17.6,1412.538,93.75
17.8,1412.538,92.5
18.0,1412.538,95.0
18.2,1412.538,95.0
18.4,1412.538,90.0
18.6,1412.538,90.0
18.8,1412.538,95.0
19.0,1412.538,93.75
19.2,1412.538,90.0
19.4,1412.538,85.0
19.6,1412.538,86.25
19.8,1412.538,82.5
20.0,1412.538,78.75
20.2,1412.538,75.0
20.4,1412.538,51.25
20.6,1412.538,38.75
20.8,1412.538,27.5
21.0,1412.538,13.75
21.2,1412.538,12.5
21.4,1412.538,5.0
21.6,1412.538,8.75
21.8,1412.538,3.75
22.0,1412.538,2.5
22.2,1412.538,2.5
22.4,1412.538,5.0
16.8,3548.134,93.75
17.0,3548.134,91.25
17.2,3548.134,95.0
17.4,3548.134,90.0
17.6,3548.134,93.75
17.8,3548.134,96.25
18.0,3548.134,93.75
18.2,3548.134,91.25
18.4,3548.134,90.0
18.6,3548.134,87.5
18.8,3548.134,85.0
19.0,3548.134,93.75
19.2,3548.134,92.5
19.4,3548.134,88.75
19.6,3548.134,83.75
19.8,3548.134,73.75
20.0,3548.134,78.75
20.2,3548.134,61.25
20.4,3548.134,38.75
20.6,3548.134,28.75
20.8,3548.134,21.25
21.0,3548.134,5.0
21.2,3548.134,7.5
21.4,3548.134,5.0
21.6,3548.134,1.25
21.8,3548.134,5.0
22.0,3548.134,1.25
22.2,3548.134,0.0
22.4,3548.134,6.25
16.8,8912.509,95.0
17.0,8912.509,95.0
17.2,8912.509,93.75
17.4,8912.509,93.75
17.6,8912.509,92.5
17.8,8912.509,91.25
18.0,8912.509,90.0
18.2,8912.509,93.75
18.4,8912.509,93.75
18.6,8912.509,90.0
18.8,8912.509,91.25
19.0,8912.509,93.75
19.2,8912.509,87.5
19.4,8912.509,88.75
19.6,8912.509,88.75
19.8,8912.509,85.0
20.0,8912.509,66.25
20.2,8912.509,55.0
20.4,8912.509,36.25
20.6,8912.509,17.5
20.8,8912.509,11.25
21.0,8912.509,11.25
21.2,8912.509,8.75
21.4,8912.509,1.25
21.6,8912.509,2.5
21.8,8912.509,2.5
22.0,8912.509,3.75
22.2,8912.509,7.5
22.4,8912.509,1.25
16.8,28183.829,95.0
17.0,28183.829,97.5
17.2,28183.829,88.75
17.4,28183.829,93.75
17.6,28183.829,90.0
17.8,28183.829,95.0
18.0,28183.829,92.5
18.2,28183.829,92.5
18.4,28183.829,96.25
18.6,28183.829,91.25
18.8,28183.829,90.0
19.0,28183.829,90.0
19.2,28183.829,90.0
19.4,28183.829,87.5
19.6,28183.829,85.0
19.8,28183.829,78.75
20.0,28183.829,53.75
20.2,28183.829,31.25
20.4,28183.829,18.75
20.6,28183.829,17.5
20.8,28183.829,12.5
21.0,28183.829,12.5
21.2,28183.829,1.25
21.4,28183.829,3.75
21.6,28183.829,2.5
21.8,28183.829,1.25
22.0,28183.829,2.5
22.2,28183.829,3.75
22.4,28183.829,1.25
16.8,100000.0,96.25
17.0,100000.0,95.0
17.2,100000.0,90.0
17.4,100000.0,92.5
17.6,100000.0,95.0
17.8,100000.0,97.5
18.0,100000.0,95.0
18.2,100000.0,92.5
18.4,100000.0,87.5
18.6,100000.0,91.25
18.8,100000.0,87.5
19.0,100000.0,82.5
19.2,100000.0,82.5
19.4,100000.0,78.75
19.6,100000.0,75.0
19.8,100000.0,53.75
