mag,rho,eff_rd
15.8,3.162,5.0
16.0,3.162,1.66667
16.2,3.162,5.0
16.4,3.162,8.33333
16.6,3.162,4.16667
16.8,3.162,3.33333
17.0,3.162,5.0
17.2,3.162,6.66667
17.4,3.162,7.5
17.6,3.162,5.0
17.8,3.162,10.0
18.0,3.162,15.83333
18.2,3.162,22.5
18.4,3.162,16.66667
18.6,3.162,31.66667
18.8,3.162,36.66667
19.0,3.162,31.66667
19.2,3.162,33.33333
19.4,3.162,32.5
19.6,3.162,38.33333
19.8,3.162,26.66667
20.0,3.162,33.33333
20.2,3.162,39.16667
20.4,3.162,27.5
20.6,3.162,30.0
20.8,3.162,28.33333
21.0,3.162,17.5
21.2,3.162,15.0
21.4,3.162,11.66667
21.6,3.162,13.33333
21.8,3.162,7.5
22.0,3.162,7.5
22.2,3.162,11.66667
22.4,3.162,6.66667
15.8,3.548,5.83333
16.0,3.548,4.16667
16.2,3.548,5.83333
16.4,3.548,4.16667
16.6,3.548,4.16667
16.8,3.548,5.0
17.0,3.548,6.66667
17.2,3.548,4.16667
17.4,3.548,10.83333
17.6,3.548,12.5
17.8,3.548,25.0
18.0,3.548,25.83333
18.2,3.548,33.33333
18.4,3.548,35.0
18.6,3.548,39.16667
18.8,3.548,45.83333
19.0,3.548,45.0
19.2,3.548,35.0
19.4,3.548,47.5
19.6,3.548,51.66667
19.8,3.548,50.83333
20.0,3.548,43.33333
20.2,3.548,39.16667
20.4,3.548,30.0
20.6,3.548,32.5
20.8,3.548,25.83333
21.0,3.548,23.33333
21.2,3.548,20.0
21.4,3.548,22.5
21.6,3.548,13.33333
21.8,3.548,12.5
22.0,3.548,9.16667
22.2,3.548,5.0
22.4,3.548,7.5
15.8,4.467,4.16667
16.0,4.467,5.0
16.2,4.467,1.66667
16.4,4.467,3.33333
16.6,4.467,3.33333
16.8,4.467,5.83333
17.0,4.467,10.0
17.2,4.467,20.83333
17.4,4.467,29.16667
17.6,4.467,32.5
17.8,4.467,51.66667
18.0,4.467,50.0
18.2,4.467,60.0
18.4,4.467,60.83333
18.6,4.467,65.83333
18.8,4.467,75.0
19.0,4.467,68.33333
19.2,4.467,70.0
19.4,4.467,67.5
19.6,4.467,67.5
19.8,4.467,66.66667
20.0,4.467,71.66667
