mag,rho,eff_rd
16.8,3.162,0.0
17.0,3.162,3.75
17.2,3.162,1.25
17.4,3.162,7.5
17.6,3.162,5.0
17.8,3.162,11.25
18.0,3.162,22.5
18.2,3.162,28.75
18.4,3.162,30.0
18.6,3.162,45.0
18.8,3.162,40.0
19.0,3.162,56.25
19.2,3.162,50.0
19.4,3.162,48.75
19.6,3.162,51.25
19.8,3.162,40.0
20.0,3.162,41.25
20.2,3.162,45.0
20.4,3.162,35.0
20.6,3.162,26.25
20.8,3.162,23.75
21.0,3.162,31.25
21.2,3.162,18.75
21.4,3.162,10.0
21.6,3.162,10.0
21.8,3.162,6.25
22.0,3.162,3.75
22.2,3.162,5.0
22.4,3.162,2.5
16.8,3.548,2.5
17.0,3.548,2.5
17.2,3.548,5.0
17.4,3.548,8.75
17.6,3.548,15.0
17.8,3.548,35.0
18.0,3.548,37.5
18.2,3.548,52.5
18.4,3.548,51.25
18.6,3.548,57.5
18.8,3.548,63.75
19.0,3.548,60.0
19.2,3.548,61.25
19.4,3.548,60.0
19.6,3.548,75.0
19.8,3.548,60.0
20.0,3.548,53.75
20.2,3.548,52.5
20.4,3.548,42.5
20.6,3.548,38.75
20.8,3.548,41.25
21.0,3.548,30.0
21.2,3.548,31.25
21.4,3.548,11.25
21.6,3.548,15.0
21.8,3.548,3.75
22.0,3.548,7.5
22.2,3.548,7.5
22.4,3.548,5.0
16.8,4.467,6.25
17.0,4.467,16.25
17.2,4.467,27.5
17.4,4.467,43.75
17.6,4.467,56.25
17.8,4.467,60.0
18.0,4.467,70.0
18.2,4.467,72.5
18.4,4.467,78.75
18.6,4.467,83.75
18.8,4.467,77.5
19.0,4.467,83.75
19.2,4.467,81.25
19.4,4.467,83.75
19.6,4.467,82.5
19.8,4.467,78.75
20.0,4.467,76.25
20.2,4.467,65.0
20.4,4.467,65.0
20.6,4.467,75.0
20.8,4.467,57.5
21.0,4.467,35.0
21.2,4.467,35.0
21.4,4.467,21.25
21.6,4.467,16.25
21.8,4.467,11.25
22.0,4.467,6.25
22.2,4.467,5.0
22.4,4.467,5.0
16.8,5.012,15.0
17.0,5.012,40.0
17.2,5.012,60.0
17.4,5.012,76.25
17.6,5.012,80.0
17.8,5.012,83.75
18.0,5.012,91.25
18.2,5.012,77.5
18.4,5.012,77.5
18.6,5.012,86.25
18.8,5.012,90.0
19.0,5.012,90.0
19.2,5.012,91.25
19.4,5.012,82.5
19.6,5.012,82.5
19.8,5.012,90.0
20.0,5.012,82.5
20.2,5.012,70.0
20.4,5.012,78.75
20.6,5.012,55.0
20.8,5.012,57.5
21.0,5.012,42.5
21.2,5.012,42.5
21.4,5.012,25.0
21.6,5.012,11.25
21.8,5.012,7.5
22.0,5.012,2.5
22.2,5.012,8.75
22.4,5.012,2.5
16.8,6.31,57.5
17.0,6.31,66.25
17.2,6.31,81.25
17.4,6.31,92.5
17.6,6.31,90.0
17.8,6.31,88.75
18.0,6.31,95.0
18.2,6.31,95.0
18.4,6.31,95.0
18.6,6.31,92.5
18.8,6.31,93.75
19.0,6.31,98.75
19.2,6.31,91.25
19.4,6.31,92.5
19.6,6.31,92.5
19.8,6.31,97.5
20.0,6.31,78.75
20.2,6.31,90.0
20.4,6.31,78.75
20.6,6.31,71.25
20.8,6.31,73.75
21.0,6.31,61.25
21.2,6.31,41.25
21.4,6.31,20.0
21.6,6.31,7.5
21.8,6.31,10.0
22.0,6.31,11.25
22.2,6.31,3.75
22.4,6.31,3.75
16.8,7.943,87.5
17.0,7.943,97.5
17.2,7.943,95.0
17.4,7.943,97.5
17.6,7.943,98.75
17.8,7.943,98.75
18.0,7.943,95.0
18.2,7.943,100.0
18.4,7.943,96.25
18.6,7.943,97.5
18.8,7.943,95.0
19.0,7.943,92.5
19.2,7.943,96.25
19.4,7.943,100.0
19.6,7.943,91.25
19.8,7.943,88.75
20.0,7.943,92.5
20.2,7.943,90.0
20.4,7.943,82.5
20.6,7.943,80.0
20.8,7.943,66.25
21.0,7.943,51.25
21.2,7.943,28.75
21.4,7.943,25.0
21.6,7.943,12.5
21.8,7.943,8.75
22.0,7.943,5.0
22.2,7.943,5.0
22.4,7.943,2.5
16.8,10.0,97.5
17.0,10.0,98.75
17.2,10.0,98.75
17.4,10.0,100.0
17.6,10.0,100.0
17.8,10.0,98.75
18.0,10.0,98.75
18.2,10.0,96.25
18.4,10.0,98.75
18.6,10.0,97.5
18.8,10.0,96.25
19.0,10.0,97.5
19.2,10.0,97.5
19.4,10.0,96.25
19.6,10.0,97.5
19.8,10.0,93.75
20.0,10.0,93.75
20.2,10.0,93.75
20.4,10.0,92.5
20.6,10.0,82.5
20.8,10.0,77.5
21.0,10.0,52.5
21.2,10.0,30.0
21.4,10.0,20.0
21.6,10.0,12.5
21.8,10.0,7.5
22.0,10.0,0.0
22.2,10.0,5.0
22.4,10.0,5.0
