mag,rho,eff_rd
19.4,12.589,86.25
19.6,12.589,77.5
19.8,12.589,80.0
20.0,12.589,80.0
20.2,12.589,83.75
20.4,12.589,77.5
20.6,12.589,72.5
20.8,12.589,61.25
21.0,12.589,43.75
21.2,12.589,50.0
21.4,12.589,23.75
21.6,12.589,13.75
21.8,12.589,17.5
22.0,12.589,8.75
22.2,12.589,2.5
22.4,12.589,7.5
16.4,17.783,92.5
16.6,17.783,85.0
16.8,17.783,91.25
17.0,17.783,93.75
17.2,17.783,92.5
17.4,17.783,96.25
17.6,17.783,90.0
17.8,17.783,91.25
18.0,17.783,93.75
18.2,17.783,90.0
18.4,17.783,90.0
18.6,17.783,90.0
18.8,17.783,87.5
19.0,17.783,87.5
19.2,17.783,92.5
19.4,17.783,85.0
19.6,17.783,82.5
19.8,17.783,81.25
20.0,17.783,86.25
20.2,17.783,88.75
20.4,17.783,82.5
20.6,17.783,71.25
20.8,17.783,53.75
21.0,17.783,38.75
21.2,17.783,31.25
21.4,17.783,20.0
21.6,17.783,10.0
21.8,17.783,6.25
22.0,17.783,5.0
22.2,17.783,8.75
22.4,17.783,5.0
16.4,25.119,92.5
16.6,25.119,86.25
16.8,25.119,96.25
17.0,25.119,93.75
17.2,25.119,91.25
17.4,25.119,91.25
17.6,25.119,90.0
17.8,25.119,91.25
18.0,25.119,92.5
18.2,25.119,87.5
18.4,25.119,92.5
18.6,25.119,92.5
18.8,25.119,95.0
19.0,25.119,86.25
19.2,25.119,87.5
19.4,25.119,86.25
19.6,25.119,85.0
19.8,25.119,88.75
20.0,25.119,82.5
20.2,25.119,73.75
20.4,25.119,75.0
20.6,25.119,62.5
20.8,25.119,58.75
21.0,25.119,38.75
21.2,25.119,35.0
21.4,25.119,15.0
21.6,25.119,12.5
21.8,25.119,13.75
22.0,25.119,7.5
22.2,25.119,6.25
22.4,25.119,3.75
16.4,39.811,91.25
16.6,39.811,90.0
16.8,39.811,95.0
17.0,39.811,96.25
17.2,39.811,90.0
17.4,39.811,88.75
17.6,39.811,91.25
17.8,39.811,88.75
18.0,39.811,91.25
18.2,39.811,95.0
18.4,39.811,95.0
18.6,39.811,91.25
18.8,39.811,93.75
19.0,39.811,90.0
19.2,39.811,88.75
19.4,39.811,93.75
19.6,39.811,85.0
19.8,39.811,85.0
20.0,39.811,90.0
20.2,39.811,81.25
20.4,39.811,72.5
20.6,39.811,67.5
20.8,39.811,56.25
21.0,39.811,41.25
21.2,39.811,41.25
21.4,39.811,21.25
21.6,39.811,26.25
21.8,39.811,12.5
22.0,39.811,11.25
22.2,39.811,6.25
22.4,39.811,6.25
16.4,56.234,96.25
16.6,56.234,95.0
16.8,56.234,91.25
17.0,56.234,93.75
17.2,56.234,95.0
17.4,56.234,95.0
17.6,56.234,95.0
17.8,56.234,87.5
18.0,56.234,90.0
18.2,56.234,97.5
18.4,56.234,95.0
18.6,56.234,95.0
18.8,56.234,92.5
19.0,56.234,95.0
19.2,56.234,92.5
19.4,56.234,86.25
