mag_low, mag_high, arc_down, arc_up, eff
19.14, 19.51667, 15.84893, 21.54435, 47.43056
19.14, 19.51667, 21.54435, 29.28645, 55.85938
19.14, 19.51667, 29.28645, 39.81072, 18.14236
19.14, 19.51667, 39.81072, 54.11695, 0.0
19.14, 19.51667, 54.11695, 73.56423, 0.0
19.14, 19.51667, 73.56423, 100.0, 0.0
19.51667, 19.89333, 2.51189, 3.41455, 9.28571
19.51667, 19.89333, 3.41455, 4.64159, 46.70455
19.51667, 19.89333, 4.64159, 6.30957, 90.0
19.51667, 19.89333, 6.30957, 8.57696, 91.66667
19.51667, 19.89333, 8.57696, 11.65914, 92.5
19.51667, 19.89333, 11.65914, 15.84893, 83.90046
19.51667, 19.89333, 15.84893, 21.54435, 22.29167
19.51667, 19.89333, 21.54435, 29.28645, 0.0
19.51667, 19.89333, 29.28645, 39.81072, 4.51389
19.51667, 19.89333, 39.81072, 54.11695, 0.0
19.51667, 19.89333, 54.11695, 73.56423, 0.0
19.51667, 19.89333, 73.56423, 100.0, Nan 
19.89333, 20.27, 2.51189, 3.41455, 25.44444
19.89333, 20.27, 3.41455, 4.64159, 67.36111
19.89333, 20.27, 4.64159, 6.30957, 87.5
19.89333, 20.27, 6.30957, 8.57696, 87.36111
19.89333, 20.27, 8.57696, 11.65914, 77.47396
19.89333, 20.27, 11.65914, 15.84893, 73.33333
19.89333, 20.27, 15.84893, 21.54435, 25.75758
19.89333, 20.27, 21.54435, 29.28645, 3.50962
19.89333, 20.27, 29.28645, 39.81072, 0.0
19.89333, 20.27, 39.81072, 54.11695, 0.0
19.89333, 20.27, 54.11695, 73.56423, 0.0
19.89333, 20.27, 73.56423, 100.0, Nan 
20.27, 20.64667, 2.51189, 3.41455, 22.27778
20.27, 20.64667, 3.41455, 4.64159, 57.1875
20.27, 20.64667, 4.64159, 6.30957, 67.24537
20.27, 20.64667, 6.30957, 8.57696, 82.36111
20.27, 20.64667, 8.57696, 11.65914, 64.93056
20.27, 20.64667, 11.65914, 15.84893, 34.30556
20.27, 20.64667, 15.84893, 21.54435, 5.77381
20.27, 20.64667, 21.54435, 29.28645, 0.0
20.27, 20.64667, 29.28645, 39.81072, 0.0
20.27, 20.64667, 39.81072, 54.11695, 0.0
20.27, 20.64667, 54.11695, 73.56423, 0.0
20.27, 20.64667, 73.56423, 100.0, Nan 
20.64667, 21.02333, 2.51189, 3.41455, 29.91667
20.64667, 21.02333, 3.41455, 4.64159, 46.875
20.64667, 21.02333, 4.64159, 6.30957, 67.36111
20.64667, 21.02333, 6.30957, 8.57696, 38.0
20.64667, 21.02333, 8.57696, 11.65914, 47.39583
20.64667, 21.02333, 11.65914, 15.84893, 0.0
20.64667, 21.02333, 15.84893, 21.54435, 0.0
20.64667, 21.02333, 21.54435, 29.28645, 0.0
20.64667, 21.02333, 29.28645, 39.81072, 0.0
20.64667, 21.02333, 39.81072, 54.11695, Nan 
20.64667, 21.02333, 54.11695, 73.56423, Nan 
20.64667, 21.02333, 73.56423, 100.0, Nan 
21.02333, 21.4, 2.51189, 3.41455, 33.33333
21.02333, 21.4, 3.41455, 4.64159, 29.72222
21.02333, 21.4, 4.64159, 6.30957, Nan 
21.02333, 21.4, 6.30957, 8.57696, 34.86111
21.02333, 21.4, 8.57696, 11.65914, 0.0
21.02333, 21.4, 11.65914, 15.84893, Nan 
21.02333, 21.4, 15.84893, 21.54435, Nan 
21.02333, 21.4, 21.54435, 29.28645, 0.0
21.02333, 21.4, 29.28645, 39.81072, 0.0
21.02333, 21.4, 39.81072, 54.11695, Nan 
21.02333, 21.4, 54.11695, 73.56423, Nan 
21.02333, 21.4, 73.56423, 100.0, Nan 
