mag_low, mag_high, arc_down, arc_up, eff
19.14, 19.51667, 21.54435, 29.28645, 54.49219
19.14, 19.51667, 29.28645, 39.81072, 19.16667
19.14, 19.51667, 39.81072, 54.11695, 0.0
19.14, 19.51667, 54.11695, 73.56423, 0.0
19.14, 19.51667, 73.56423, 100.0, 0.0
19.51667, 19.89333, 2.51189, 3.41455, 5.95238
19.51667, 19.89333, 3.41455, 4.64159, 38.52273
19.51667, 19.89333, 4.64159, 6.30957, 85.625
19.51667, 19.89333, 6.30957, 8.57696, 88.95833
19.51667, 19.89333, 8.57696, 11.65914, 89.375
19.51667, 19.89333, 11.65914, 15.84893, 81.54514
19.51667, 19.89333, 15.84893, 21.54435, 21.61458
19.51667, 19.89333, 21.54435, 29.28645, 0.0
19.51667, 19.89333, 29.28645, 39.81072, 6.15741
19.51667, 19.89333, 39.81072, 54.11695, 0.0
19.51667, 19.89333, 54.11695, 73.56423, 0.0
19.51667, 19.89333, 73.56423, 100.0, Nan 
19.89333, 20.27, 2.51189, 3.41455, 16.08333
19.89333, 20.27, 3.41455, 4.64159, 58.85417
19.89333, 20.27, 4.64159, 6.30957, 84.375
19.89333, 20.27, 6.30957, 8.57696, 85.20833
19.89333, 20.27, 8.57696, 11.65914, 75.46875
19.89333, 20.27, 11.65914, 15.84893, 71.57051
19.89333, 20.27, 15.84893, 21.54435, 27.04545
19.89333, 20.27, 21.54435, 29.28645, 3.65385
19.89333, 20.27, 29.28645, 39.81072, 0.0
19.89333, 20.27, 39.81072, 54.11695, 0.0
19.89333, 20.27, 54.11695, 73.56423, 0.0
19.89333, 20.27, 73.56423, 100.0, Nan 
20.27, 20.64667, 2.51189, 3.41455, 15.58333
20.27, 20.64667, 3.41455, 4.64159, 53.4375
20.27, 20.64667, 4.64159, 6.30957, 64.75694
20.27, 20.64667, 6.30957, 8.57696, 82.29167
20.27, 20.64667, 8.57696, 11.65914, 65.88542
20.27, 20.64667, 11.65914, 15.84893, 35.10417
20.27, 20.64667, 15.84893, 21.54435, 6.69643
20.27, 20.64667, 21.54435, 29.28645, 0.0
20.27, 20.64667, 29.28645, 39.81072, 0.0
20.27, 20.64667, 39.81072, 54.11695, 0.0
20.27, 20.64667, 54.11695, 73.56423, 0.0
20.27, 20.64667, 73.56423, 100.0, Nan 
20.64667, 21.02333, 2.51189, 3.41455, 18.75
20.64667, 21.02333, 3.41455, 4.64159, 35.71429
20.64667, 21.02333, 4.64159, 6.30957, 68.33333
20.64667, 21.02333, 6.30957, 8.57696, 39.75
20.64667, 21.02333, 8.57696, 11.65914, 52.34375
20.64667, 21.02333, 11.65914, 15.84893, 0.0
20.64667, 21.02333, 15.84893, 21.54435, 0.0
20.64667, 21.02333, 21.54435, 29.28645, 0.0
20.64667, 21.02333, 29.28645, 39.81072, 0.0
20.64667, 21.02333, 39.81072, 54.11695, Nan 
20.64667, 21.02333, 54.11695, 73.56423, Nan 
20.64667, 21.02333, 73.56423, 100.0, Nan 
21.02333, 21.4, 2.51189, 3.41455, 23.54167
21.02333, 21.4, 3.41455, 4.64159, 30.625
21.02333, 21.4, 4.64159, 6.30957, Nan 
21.02333, 21.4, 6.30957, 8.57696, 38.125
21.02333, 21.4, 8.57696, 11.65914, 0.0
21.02333, 21.4, 11.65914, 15.84893, Nan 
21.02333, 21.4, 15.84893, 21.54435, Nan 
21.02333, 21.4, 21.54435, 29.28645, 0.0
21.02333, 21.4, 29.28645, 39.81072, 0.0
21.02333, 21.4, 39.81072, 54.11695, Nan 
21.02333, 21.4, 54.11695, 73.56423, Nan 
21.02333, 21.4, 73.56423, 100.0, Nan 
