mag_low, mag_high, arc_down, arc_up, eff
15.75, 16.12667, 2.51189, 3.41455, 0.0
15.75, 16.12667, 3.41455, 4.64159, Nan 
15.75, 16.12667, 4.64159, 6.30957, Nan 
15.75, 16.12667, 6.30957, 8.57696, Nan 
15.75, 16.12667, 8.57696, 11.65914, Nan 
15.75, 16.12667, 11.65914, 15.84893, 46.52778
15.75, 16.12667, 15.84893, 21.54435, 46.80556
15.75, 16.12667, 21.54435, 29.28645, Nan 
15.75, 16.12667, 29.28645, 39.81072, 94.44444
15.75, 16.12667, 39.81072, 54.11695, 95.83333
15.75, 16.12667, 54.11695, 73.56423, Nan 
15.75, 16.12667, 73.56423, 100.0, Nan 
16.12667, 16.50333, 2.51189, 3.41455, Nan 
16.12667, 16.50333, 3.41455, 4.64159, 0.0
16.12667, 16.50333, 4.64159, 6.30957, Nan 
16.12667, 16.50333, 6.30957, 8.57696, 0.0
16.12667, 16.50333, 8.57696, 11.65914, 11.69271
16.12667, 16.50333, 11.65914, 15.84893, 39.88095
16.12667, 16.50333, 15.84893, 21.54435, 61.66667
16.12667, 16.50333, 21.54435, 29.28645, 93.33333
16.12667, 16.50333, 29.28645, 39.81072, 96.18056
16.12667, 16.50333, 39.81072, 54.11695, 63.19444
16.12667, 16.50333, 54.11695, 73.56423, 61.11111
16.12667, 16.50333, 73.56423, 100.0, 39.72222
16.50333, 16.88, 2.51189, 3.41455, 0.0
16.50333, 16.88, 3.41455, 4.64159, 0.0
16.50333, 16.88, 4.64159, 6.30957, Nan 
16.50333, 16.88, 6.30957, 8.57696, 0.0
16.50333, 16.88, 8.57696, 11.65914, 26.60714
16.50333, 16.88, 11.65914, 15.84893, 52.30159
16.50333, 16.88, 15.84893, 21.54435, 93.33333
16.50333, 16.88, 21.54435, 29.28645, 92.29167
16.50333, 16.88, 29.28645, 39.81072, 94.09722
16.50333, 16.88, 39.81072, 54.11695, 95.13889
16.50333, 16.88, 54.11695, 73.56423, 69.92188
