mag_low, mag_high, arc_down, arc_up, eff
19.14, 19.51667, 15.84893, 21.54435, 44.30556
19.14, 19.51667, 21.54435, 29.28645, 52.73438
19.14, 19.51667, 29.28645, 39.81072, 15.53819
19.14, 19.51667, 39.81072, 54.11695, 0.0
19.14, 19.51667, 54.11695, 73.56423, 0.0
19.14, 19.51667, 73.56423, 100.0, 0.0
19.51667, 19.89333, 2.51189, 3.41455, 8.57143
19.51667, 19.89333, 3.41455, 4.64159, 43.52273
19.51667, 19.89333, 4.64159, 6.30957, 86.38889
19.51667, 19.89333, 6.30957, 8.57696, 88.88889
19.51667, 19.89333, 8.57696, 11.65914, 86.45833
19.51667, 19.89333, 11.65914, 15.84893, 78.93519
19.51667, 19.89333, 15.84893, 21.54435, 20.34722
19.51667, 19.89333, 21.54435, 29.28645, 0.0
19.51667, 19.89333, 29.28645, 39.81072, 3.43364
19.51667, 19.89333, 39.81072, 54.11695, 0.0
19.51667, 19.89333, 54.11695, 73.56423, 0.0
19.51667, 19.89333, 73.56423, 100.0, Nan 
19.89333, 20.27, 2.51189, 3.41455, 24.05556
19.89333, 20.27, 3.41455, 4.64159, 64.58333
19.89333, 20.27, 4.64159, 6.30957, 82.08333
19.89333, 20.27, 6.30957, 8.57696, 84.02778
19.89333, 20.27, 8.57696, 11.65914, 73.28125
19.89333, 20.27, 11.65914, 15.84893, 64.87179
19.89333, 20.27, 15.84893, 21.54435, 21.61616
19.89333, 20.27, 21.54435, 29.28645, 2.58013
19.89333, 20.27, 29.28645, 39.81072, 0.0
19.89333, 20.27, 39.81072, 54.11695, 0.0
19.89333, 20.27, 54.11695, 73.56423, 0.0
19.89333, 20.27, 73.56423, 100.0, Nan 
20.27, 20.64667, 2.51189, 3.41455, 20.27778
20.27, 20.64667, 3.41455, 4.64159, 50.78125
20.27, 20.64667, 4.64159, 6.30957, 64.23611
20.27, 20.64667, 6.30957, 8.57696, 69.30556
20.27, 20.64667, 8.57696, 11.65914, 55.20833
20.27, 20.64667, 11.65914, 15.84893, 27.56944
20.27, 20.64667, 15.84893, 21.54435, 4.54365
20.27, 20.64667, 21.54435, 29.28645, 0.0
20.27, 20.64667, 29.28645, 39.81072, 0.0
20.27, 20.64667, 39.81072, 54.11695, 0.0
20.27, 20.64667, 54.11695, 73.56423, 0.0
20.27, 20.64667, 73.56423, 100.0, Nan 
20.64667, 21.02333, 2.51189, 3.41455, 25.25
20.64667, 21.02333, 3.41455, 4.64159, 41.07143
20.64667, 21.02333, 4.64159, 6.30957, 56.38889
20.64667, 21.02333, 6.30957, 8.57696, 30.5
20.64667, 21.02333, 8.57696, 11.65914, 35.9375
20.64667, 21.02333, 11.65914, 15.84893, 0.0
20.64667, 21.02333, 15.84893, 21.54435, 0.0
20.64667, 21.02333, 21.54435, 29.28645, 0.0
20.64667, 21.02333, 29.28645, 39.81072, 0.0
20.64667, 21.02333, 39.81072, 54.11695, Nan 
20.64667, 21.02333, 54.11695, 73.56423, Nan 
20.64667, 21.02333, 73.56423, 100.0, Nan 
21.02333, 21.4, 2.51189, 3.41455, 28.05556
21.02333, 21.4, 3.41455, 4.64159, 21.52778
21.02333, 21.4, 4.64159, 6.30957, Nan 
21.02333, 21.4, 6.30957, 8.57696, 27.63889
21.02333, 21.4, 8.57696, 11.65914, 0.0
21.02333, 21.4, 11.65914, 15.84893, Nan 
21.02333, 21.4, 15.84893, 21.54435, Nan 
21.02333, 21.4, 21.54435, 29.28645, 0.0
21.02333, 21.4, 29.28645, 39.81072, 0.0
21.02333, 21.4, 39.81072, 54.11695, Nan 
21.02333, 21.4, 54.11695, 73.56423, Nan 
21.02333, 21.4, 73.56423, 100.0, Nan 
