mag_low, mag_high, arc_down, arc_up, eff
19.51667, 19.14, 21.54435, 29.28645, 33.04688
19.51667, 19.14, 29.28645, 39.81072, 0.0
19.51667, 19.14, 39.81072, 54.11695, 0.0
19.51667, 19.14, 54.11695, 73.56423, 0.0
19.51667, 19.14, 73.56423, 100.0, 0.0
19.89333, 19.51667, 2.51189, 3.41455, 0.0
19.89333, 19.51667, 3.41455, 4.64159, 7.5
19.89333, 19.51667, 4.64159, 6.30957, 57.80303
19.89333, 19.51667, 6.30957, 8.57696, 62.77778
19.89333, 19.51667, 8.57696, 11.65914, 72.67361
19.89333, 19.51667, 11.65914, 15.84893, 46.5625
19.89333, 19.51667, 15.84893, 21.54435, 10.46875
19.89333, 19.51667, 21.54435, 29.28645, 0.0
19.89333, 19.51667, 29.28645, 39.81072, 0.0
19.89333, 19.51667, 39.81072, 54.11695, 0.0
19.89333, 19.51667, 54.11695, 73.56423, 0.0
19.89333, 19.51667, 73.56423, 100.0, Nan 
20.27, 19.89333, 2.51189, 3.41455, 10.375
20.27, 19.89333, 3.41455, 4.64159, 12.76042
20.27, 19.89333, 4.64159, 6.30957, 40.24621
20.27, 19.89333, 6.30957, 8.57696, 29.375
20.27, 19.89333, 8.57696, 11.65914, 54.10156
20.27, 19.89333, 11.65914, 15.84893, 47.30769
20.27, 19.89333, 15.84893, 21.54435, 5.05682
20.27, 19.89333, 21.54435, 29.28645, 0.0
20.27, 19.89333, 29.28645, 39.81072, 0.0
20.27, 19.89333, 39.81072, 54.11695, 0.0
20.27, 19.89333, 54.11695, 73.56423, 0.0
20.27, 19.89333, 73.56423, 100.0, Nan 
20.64667, 20.27, 2.51189, 3.41455, 0.0
20.64667, 20.27, 3.41455, 4.64159, 0.0
20.64667, 20.27, 4.64159, 6.30957, 12.77778
20.64667, 20.27, 6.30957, 8.57696, 46.09375
20.64667, 20.27, 8.57696, 11.65914, 31.25
20.64667, 20.27, 11.65914, 15.84893, 24.79167
20.64667, 20.27, 15.84893, 21.54435, 0.0
20.64667, 20.27, 21.54435, 29.28645, 0.0
20.64667, 20.27, 29.28645, 39.81072, 0.0
20.64667, 20.27, 39.81072, 54.11695, 0.0
20.64667, 20.27, 54.11695, 73.56423, 0.0
20.64667, 20.27, 73.56423, 100.0, Nan 
21.02333, 20.64667, 2.51189, 3.41455, 0.0
21.02333, 20.64667, 3.41455, 4.64159, 7.09821
21.02333, 20.64667, 4.64159, 6.30957, 34.02778
21.02333, 20.64667, 6.30957, 8.57696, 13.375
21.02333, 20.64667, 8.57696, 11.65914, 5.625
21.02333, 20.64667, 11.65914, 15.84893, 0.0
21.02333, 20.64667, 15.84893, 21.54435, 0.0
21.02333, 20.64667, 21.54435, 29.28645, 0.0
21.02333, 20.64667, 29.28645, 39.81072, 0.0
21.02333, 20.64667, 39.81072, 54.11695, Nan 
21.02333, 20.64667, 54.11695, 73.56423, Nan 
21.02333, 20.64667, 73.56423, 100.0, Nan 
21.4, 21.02333, 2.51189, 3.41455, 0.0
21.4, 21.02333, 3.41455, 4.64159, 7.60417
21.4, 21.02333, 4.64159, 6.30957, Nan 
21.4, 21.02333, 6.30957, 8.57696, 7.70833
21.4, 21.02333, 8.57696, 11.65914, 0.0
21.4, 21.02333, 11.65914, 15.84893, Nan 
21.4, 21.02333, 15.84893, 21.54435, Nan 
21.4, 21.02333, 21.54435, 29.28645, 0.0
21.4, 21.02333, 29.28645, 39.81072, 0.0
21.4, 21.02333, 39.81072, 54.11695, Nan 
21.4, 21.02333, 54.11695, 73.56423, Nan 
21.4, 21.02333, 73.56423, 100.0, Nan 
