mag_low, mag_high, arc_down, arc_up, eff
16.12667, 15.75, 2.51189, 3.41455, 0.0
16.12667, 15.75, 3.41455, 4.64159, Nan 
16.12667, 15.75, 4.64159, 6.30957, Nan 
16.12667, 15.75, 6.30957, 8.57696, Nan 
16.12667, 15.75, 8.57696, 11.65914, Nan 
16.12667, 15.75, 11.65914, 15.84893, 16.23264
16.12667, 15.75, 15.84893, 21.54435, 24.66146
16.12667, 15.75, 21.54435, 29.28645, Nan 
16.12667, 15.75, 29.28645, 39.81072, 98.95833
16.12667, 15.75, 39.81072, 54.11695, 33.125
16.12667, 15.75, 54.11695, 73.56423, Nan 
16.12667, 15.75, 73.56423, 100.0, Nan 
16.50333, 16.12667, 2.51189, 3.41455, Nan 
16.50333, 16.12667, 3.41455, 4.64159, 0.0
16.50333, 16.12667, 4.64159, 6.30957, Nan 
16.50333, 16.12667, 6.30957, 8.57696, 0.0
16.50333, 16.12667, 8.57696, 11.65914, 0.0
16.50333, 16.12667, 11.65914, 15.84893, 0.0
16.50333, 16.12667, 15.84893, 21.54435, 49.21875
16.50333, 16.12667, 21.54435, 29.28645, 74.0625
16.50333, 16.12667, 29.28645, 39.81072, 74.6875
16.50333, 16.12667, 39.81072, 54.11695, 65.97222
16.50333, 16.12667, 54.11695, 73.56423, 66.66667
16.50333, 16.12667, 73.56423, 100.0, 19.83333
16.88, 16.50333, 2.51189, 3.41455, 0.0
16.88, 16.50333, 3.41455, 4.64159, 0.0
16.88, 16.50333, 4.64159, 6.30957, Nan 
16.88, 16.50333, 6.30957, 8.57696, 0.0
16.88, 16.50333, 8.57696, 11.65914, 0.0
16.88, 16.50333, 11.65914, 15.84893, 55.89286
16.88, 16.50333, 15.84893, 21.54435, 98.75
16.88, 16.50333, 21.54435, 29.28645, 78.5
16.88, 16.50333, 29.28645, 39.81072, 99.16667
16.88, 16.50333, 39.81072, 54.11695, 78.83333
16.88, 16.50333, 54.11695, 73.56423, 49.53125
16.88, 16.50333, 73.56423, 100.0, 0.0
17.25667, 16.88, 2.51189, 3.41455, 0.0
17.25667, 16.88, 3.41455, 4.64159, 0.0
17.25667, 16.88, 4.64159, 6.30957, Nan 
17.25667, 16.88, 6.30957, 8.57696, 0.0
17.25667, 16.88, 8.57696, 11.65914, 41.78571
17.25667, 16.88, 11.65914, 15.84893, 98.33333
17.25667, 16.88, 15.84893, 21.54435, 73.67188
17.25667, 16.88, 21.54435, 29.28645, 98.90625
17.25667, 16.88, 29.28645, 39.81072, 99.375
17.25667, 16.88, 39.81072, 54.11695, 59.625
17.25667, 16.88, 54.11695, 73.56423, 49.6875
17.25667, 16.88, 73.56423, 100.0, 0.0
17.63333, 17.25667, 2.51189, 3.41455, 0.0
17.63333, 17.25667, 3.41455, 4.64159, 0.0
17.63333, 17.25667, 4.64159, 6.30957, 0.0
17.63333, 17.25667, 6.30957, 8.57696, 0.0
17.63333, 17.25667, 8.57696, 11.65914, 32.39583
17.63333, 17.25667, 11.65914, 15.84893, 73.75
17.63333, 17.25667, 15.84893, 21.54435, 65.20833
17.63333, 17.25667, 21.54435, 29.28645, 98.90625
17.63333, 17.25667, 29.28645, 39.81072, 97.91667
17.63333, 17.25667, 39.81072, 54.11695, 24.42708
17.63333, 17.25667, 54.11695, 73.56423, 13.97321
