mag_low, mag_high, arc_down, arc_up, eff
19.51667, 19.14, 15.84893, 21.54435, 30.18519
19.51667, 19.14, 21.54435, 29.28645, 32.8125
19.51667, 19.14, 29.28645, 39.81072, 0.0
19.51667, 19.14, 39.81072, 54.11695, 0.0
19.51667, 19.14, 54.11695, 73.56423, 0.0
19.51667, 19.14, 73.56423, 100.0, 0.0
19.89333, 19.51667, 2.51189, 3.41455, 0.0
19.89333, 19.51667, 3.41455, 4.64159, 8.10606
19.89333, 19.51667, 4.64159, 6.30957, 57.62626
19.89333, 19.51667, 6.30957, 8.57696, 61.01852
19.89333, 19.51667, 8.57696, 11.65914, 69.18981
19.89333, 19.51667, 11.65914, 15.84893, 45.83333
19.89333, 19.51667, 15.84893, 21.54435, 10.22569
19.89333, 19.51667, 21.54435, 29.28645, 0.0
19.89333, 19.51667, 29.28645, 39.81072, 0.0
19.89333, 19.51667, 39.81072, 54.11695, 0.0
19.89333, 19.51667, 54.11695, 73.56423, 0.0
19.89333, 19.51667, 73.56423, 100.0, Nan 
20.27, 19.89333, 2.51189, 3.41455, 15.19444
20.27, 19.89333, 3.41455, 4.64159, 14.13194
20.27, 19.89333, 4.64159, 6.30957, 39.45707
20.27, 19.89333, 6.30957, 8.57696, 29.25926
20.27, 19.89333, 8.57696, 11.65914, 51.30208
20.27, 19.89333, 11.65914, 15.84893, 49.40171
20.27, 19.89333, 15.84893, 21.54435, 5.06313
20.27, 19.89333, 21.54435, 29.28645, 0.0
20.27, 19.89333, 29.28645, 39.81072, 0.0
20.27, 19.89333, 39.81072, 54.11695, 0.0
20.27, 19.89333, 54.11695, 73.56423, 0.0
20.27, 19.89333, 73.56423, 100.0, Nan 
20.64667, 20.27, 2.51189, 3.41455, 0.0
20.64667, 20.27, 3.41455, 4.64159, 0.0
20.64667, 20.27, 4.64159, 6.30957, 12.5
20.64667, 20.27, 6.30957, 8.57696, 44.09722
20.64667, 20.27, 8.57696, 11.65914, 34.16667
20.64667, 20.27, 11.65914, 15.84893, 23.125
20.64667, 20.27, 15.84893, 21.54435, 0.0
20.64667, 20.27, 21.54435, 29.28645, 0.0
20.64667, 20.27, 29.28645, 39.81072, 0.0
20.64667, 20.27, 39.81072, 54.11695, 0.0
20.64667, 20.27, 54.11695, 73.56423, 0.0
20.64667, 20.27, 73.56423, 100.0, Nan 
21.02333, 20.64667, 2.51189, 3.41455, 0.0
21.02333, 20.64667, 3.41455, 4.64159, 7.76786
21.02333, 20.64667, 4.64159, 6.30957, 36.2963
21.02333, 20.64667, 6.30957, 8.57696, 14.0
21.02333, 20.64667, 8.57696, 11.65914, 5.86806
21.02333, 20.64667, 11.65914, 15.84893, 0.0
21.02333, 20.64667, 15.84893, 21.54435, 0.0
21.02333, 20.64667, 21.54435, 29.28645, 0.0
21.02333, 20.64667, 29.28645, 39.81072, 0.0
21.02333, 20.64667, 39.81072, 54.11695, Nan 
